,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,2,5,5,6,5,2,2,4,6,5,2,2,4,6,4,φρούτο,κολύμπι,σύντροφος,καφετέρια,Yes,,Yes,
1,1,2025-09-01T10:00:00,3,7,6,3,5,5,7,4,5,3,2,2,5,5,4,κράκερ,περπάτημα,συγγενείς,μαγαζί,Yes,,Yes,
2,2,2025-09-01T12:00:00,6,2,4,7,5,5,7,2,4,5,4,3,5,3,4,ψωμί,ποδήλατο,συνάδελφοι,πάρκο,Yes,,Yes,
3,3,2025-09-01T14:00:00,2,6,4,2,4,2,6,3,2,2,3,4,5,7,2,γιαούρτι,κολύμπι,σύντροφος,μαγαζί,,,,
4,4,2025-09-01T16:00:00,4,7,6,6,3,1,3,2,5,3,1,6,5,3,3,κράκερ,γιόγκα,συγγενείς,δρόμος,,Yes,,Yes
5,5,2025-09-01T18:00:00,2,4,5,4,4,3,2,5,3,5,2,1,6,1,2,γάλα,περπάτημα,ξένοι,γραφείο,,,,
6,6,2025-09-01T20:00:00,5,5,6,3,2,3,4,2,5,5,4,4,5,7,4,βρώμη,γιόγκα,συνάδελφοι,καφετέρια,,,,
7,7,2025-09-01T22:00:00,6,2,1,5,1,4,4,3,6,5,2,4,5,5,5,βρώμη,τέννις,συγγενείς,πάρκο,,,,
8,8,2025-09-02T00:00:00,3,5,3,7,4,6,1,6,6,4,5,2,6,6,5,ψωμί,τέννις,ξένοι,δρόμος,Yes,,Yes,
9,9,2025-09-02T02:00:00,5,1,7,5,5,7,4,3,4,5,3,5,2,4,1,φρούτο,γκολφ,γείτονες,γραφείο,,Yes,,Yes
10,10,2025-09-02T04:00:00,5,6,7,2,4,5,5,7,5,4,2,3,4,3,2,γάλα,περπάτημα,ξένοι,καφετέρια,Yes,,Yes,
11,11,2025-09-02T06:00:00,2,3,2,1,6,3,6,1,4,3,6,3,4,2,6,βρώμη,περπάτημα,συγγενείς,καφετέρια,Yes,,Yes,
12,12,2025-09-02T08:00:00,6,1,1,6,6,5,2,6,2,2,3,4,4,4,3,βρώμη,γιόγκα,φίλοι,μαγαζί,,,,
13,13,2025-09-02T10:00:00,5,2,7,3,4,3,5,5,1,1,3,4,3,3,4,γάλα,ποδήλατο,σύντροφος,μαγαζί,,,,
14,14,2025-09-02T12:00:00,6,4,6,5,2,4,5,4,1,1,2,4,5,5,4,γάλα,ποδήλατο,ξένοι,καφετέρια,,,,
15,15,2025-09-02T14:00:00,6,2,6,6,6,3,5,5,4,3,1,3,5,5,4,γιαούρτι,ποδήλατο,συνάδελφοι,μαγαζί,Yes,,Yes,
16,16,2025-09-02T16:00:00,6,7,4,4,6,1,4,6,4,6,2,1,3,4,4,ψωμί,γιόγκα,ξένοι,καφετέρια,,,,
17,17,2025-09-02T18:00:00,2,5,5,1,5,3,3,4,6,6,4,5,2,3,4,φρούτο,ποδήλατο,γείτονες,σπίτι,,Yes,,Yes
18,18,2025-09-02T20:00:00,5,6,5,2,1,2,7,3,6,5,4,4,2,6,1,γάλα,τέννις,γείτονες,πάρκο,,,,
19,19,2025-09-02T22:00:00,2,6,1,3,4,4,6,2,5,6,2,2,6,4,3,φρούτο,περπάτημα,φίλοι,καφετέρια,Yes,,Yes,
