,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,3,1,6,5,1,1,6,7,3,1,6,2,5,3,7,φρούτο,γκολφ,συνάδελφοι,σπίτι,,,,
1,1,2025-09-01T10:00:00,4,6,2,5,5,4,7,2,1,5,3,6,2,6,2,βρώμη,τέννις,γείτονες,μαγαζί,,,,
2,2,2025-09-01T12:00:00,7,3,2,2,6,4,4,7,5,5,4,3,2,4,7,βρώμη,περπάτημα,συγγενείς,δρόμος,,Yes,,Yes
3,3,2025-09-01T14:00:00,2,6,4,4,7,1,2,6,2,2,5,5,4,2,4,φρούτο,ποδήλατο,γείτονες,πάρκο,,Yes,,Yes
4,4,2025-09-01T16:00:00,6,4,5,6,7,7,3,5,4,3,4,2,1,4,5,κράκερ,γκολφ,φίλοι,δρόμος,,Yes,,Yes
5,5,2025-09-01T18:00:00,6,4,5,1,3,6,1,4,6,3,6,6,3,6,7,βρώμη,γιόγκα,ξένοι,δρόμος,,,,
6,6,2025-09-01T20:00:00,1,1,6,6,5,4,2,4,4,3,6,6,3,5,7,ψωμί,κολύμπι,συγγενείς,πάρκο,,,,
7,7,2025-09-01T22:00:00,3,2,5,5,5,2,6,2,3,4,3,4,2,2,5,βρώμη,περπάτημα,φίλοι,γραφείο,,,,
8,8,2025-09-02T00:00:00,3,5,5,5,3,2,5,3,4,2,2,2,3,4,3,βρώμη,γιόγκα,φίλοι,γραφείο,Yes,,Yes,
9,9,2025-09-02T02:00:00,4,3,3,5,2,1,7,4,2,1,2,2,4,5,6,βρώμη,κολύμπι,φίλοι,σπίτι,Yes,,Yes,
10,10,2025-09-02T04:00:00,2,6,6,3,7,7,3,4,4,4,1,2,2,3,1,φρούτο,γιόγκα,ξένοι,πάρκο,Yes,,Yes,
11,11,2025-09-02T06:00:00,5,3,2,4,6,3,7,4,2,1,3,6,5,3,6,φρούτο,ποδήλατο,γείτονες,δρόμος,,,,
12,12,2025-09-02T08:00:00,6,6,4,4,5,6,6,7,1,2,6,4,5,7,6,γιαούρτι,ποδήλατο,γείτονες,δρόμος,,,,
13,13,2025-09-02T10:00:00,5,2,4,5,7,5,7,3,5,3,6,2,2,7,3,φρούτο,περπάτημα,φίλοι,δρόμος,,,,
14,14,2025-09-02T12:00:00,5,3,4,4,5,7,2,4,3,1,6,2,2,4,7,γάλα,κολύμπι,γείτονες,πάρκο,,,,
