,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,6,3,5,6,5,7,6,3,2,4,3,4,5,7,4,milk,golf,neighbours,store,,,,
1,2025-09-01T10:00:00,6,4,4,3,5,7,6,1,5,4,2,4,2,2,2,yoghurt,walk,colleagues,cafe,,,,
2,2025-09-01T12:00:00,6,5,4,2,4,6,6,6,4,1,2,5,4,3,3,yoghurt,swim,strangers,cafe,Yes,,Yes,
3,2025-09-01T14:00:00,1,3,3,2,7,6,4,4,1,3,4,6,4,1,6,bread,tennis,partner,park,,,,
4,2025-09-01T16:00:00,1,3,5,7,2,2,4,2,2,4,2,6,3,4,5,bread,yoga,neighbours,store,,,,
5,2025-09-01T18:00:00,3,2,3,6,5,7,6,7,2,4,5,3,2,6,1,fruit,golf,relatives,home,,,,
6,2025-09-01T20:00:00,6,3,5,5,1,2,2,3,4,5,1,1,2,5,7,milk,walk,friends,home,,Yes,,Yes
7,2025-09-01T22:00:00,5,4,2,3,7,4,7,3,3,4,5,5,5,3,1,fruit,swim,relatives,street,,,,
8,2025-09-02T00:00:00,7,1,3,6,7,4,5,2,5,4,4,1,3,5,6,fruit,yoga,friends,office,,,,
9,2025-09-02T02:00:00,6,6,2,5,2,2,3,2,4,5,2,5,1,6,4,milk,walk,relatives,park,,Yes,,Yes
10,2025-09-02T04:00:00,4,6,2,5,6,5,6,3,2,1,3,2,5,3,4,fruit,tennis,partner,home,Yes,,Yes,
11,2025-09-02T06:00:00,4,7,5,5,1,1,4,2,5,2,1,2,2,4,1,bread,swim,relatives,street,Yes,,Yes,
12,2025-09-02T08:00:00,2,4,6,6,2,6,5,5,1,6,3,2,6,4,7,cracker,yoga,colleagues,street,,Yes,,Yes
13,2025-09-02T10:00:00,6,2,5,7,7,4,2,4,6,4,6,1,1,7,6,milk,swim,neighbours,cafe,,,,
14,2025-09-02T12:00:00,1,4,4,4,5,5,3,3,3,4,3,2,1,7,3,cracker,bike,relatives,office,,,,
