,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,6,3,5,6,5,7,6,3,2,4,3,4,5,7,4,γάλα,γκολφ,γείτονες,μαγαζί,,,,
1,1,2025-09-01T10:00:00,6,4,4,3,5,7,6,1,5,4,2,4,2,2,2,γιαούρτι,περπάτημα,συνάδελφοι,καφετέρια,,,,
2,2,2025-09-01T12:00:00,6,5,4,2,4,6,6,6,4,1,2,5,4,3,3,γιαούρτι,κολύμπι,ξένοι,καφετέρια,Yes,,Yes,
3,3,2025-09-01T14:00:00,1,3,3,2,7,6,4,4,1,3,4,6,4,1,6,ψωμί,τέννις,σύντροφος,πάρκο,,,,
4,4,2025-09-01T16:00:00,1,3,5,7,2,2,4,2,2,4,2,6,3,4,5,ψωμί,γιόγκα,γείτονες,μαγαζί,,,,
5,5,2025-09-01T18:00:00,3,2,3,6,5,7,6,7,2,4,5,3,2,6,1,φρούτο,γκολφ,συγγενείς,σπίτι,,,,
6,6,2025-09-01T20:00:00,6,3,5,5,1,2,2,3,4,5,1,1,2,5,7,γάλα,περπάτημα,φίλοι,σπίτι,,Yes,,Yes
7,7,2025-09-01T22:00:00,5,4,2,3,7,4,7,3,3,4,5,5,5,3,1,φρούτο,κολύμπι,συγγενείς,δρόμος,,,,
8,8,2025-09-02T00:00:00,7,1,3,6,7,4,5,2,5,4,4,1,3,5,6,φρούτο,γιόγκα,φίλοι,γραφείο,,,,
9,9,2025-09-02T02:00:00,6,6,2,5,2,2,3,2,4,5,2,5,1,6,4,γάλα,περπάτημα,συγγενείς,πάρκο,,Yes,,Yes
10,10,2025-09-02T04:00:00,4,6,2,5,6,5,6,3,2,1,3,2,5,3,4,φρούτο,τέννις,σύντροφος,σπίτι,Yes,,Yes,
11,11,2025-09-02T06:00:00,4,7,5,5,1,1,4,2,5,2,1,2,2,4,1,ψωμί,κολύμπι,συγγενείς,δρόμος,Yes,,Yes,
12,12,2025-09-02T08:00:00,2,4,6,6,2,6,5,5,1,6,3,2,6,4,7,κράκερ,γιόγκα,συνάδελφοι,δρόμος,,Yes,,Yes
13,13,2025-09-02T10:00:00,6,2,5,7,7,4,2,4,6,4,6,1,1,7,6,γάλα,κολύμπι,γείτονες,καφετέρια,,,,
14,14,2025-09-02T12:00:00,1,4,4,4,5,5,3,3,3,4,3,2,1,7,3,κράκερ,ποδήλατο,συγγενείς,γραφείο,,,,
