,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2,tm
0,2025-09-01T08:00:00,1,5,4,8,2,4,2,5,4,1,3,2,5,3,2,oatmeal,swim,strangers,store,,,,2025-09-01 08:00:00
1,2025-09-01T10:00:00,5,5,5,7,5,6,6,3,5,4,2,2,4,3,1,milk,swim,strangers,cafe,Yes,Yes,Yes,2025-09-01 10:00:00
2,2025-09-01T12:00:00,1,5,5,7,5,7,6,3,4,3,5,4,2,2,2,yoghurt,walk,strangers,office,Yes,Yes,Yes,2025-09-01 12:00:00
3,2025-09-01T14:00:00,4,4,5,6,7,4,6,3,5,4,2,6,2,3,4,oatmeal,bike,strangers,park,Yes,Yes,Yes,2025-09-01 14:00:00
4,2025-09-01T16:00:00,7,6,3,7,1,4,6,4,5,5,5,2,4,3,5,bread,bike,partner,office,Yes,,,2025-09-01 16:00:00
5,2025-09-01T18:00:00,3,5,2,5,3,3,2,7,4,6,5,2,2,3,5,milk,golf,friends,office,Yes,,,2025-09-01 18:00:00
6,2025-09-01T20:00:00,7,4,6,7,5,2,4,6,1,4,4,2,2,5,7,oatmeal,tennis,colleagues,cafe,Yes,,,2025-09-01 20:00:00
7,2025-09-01T22:00:00,5,2,6,4,6,4,5,4,1,3,4,3,4,7,7,fruit,bike,colleagues,cafe,Yes,,,2025-09-01 22:00:00
8,2025-09-02T00:00:00,6,4,6,4,2,6,3,2,5,2,3,4,3,2,5,cracker,tennis,partner,store,Yes,,,2025-09-02 00:00:00
9,2025-09-02T02:00:00,1,2,3,5,6,3,5,1,5,2,4,4,3,2,6,oatmeal,tennis,relatives,park,Yes,,,2025-09-02 02:00:00
10,2025-09-02T04:00:00,5,5,1,5,1,6,3,6,5,1,3,2,5,3,5,oatmeal,yoga,strangers,street,Yes,,,2025-09-02 04:00:00
11,2025-09-02T06:00:00,4,4,3,6,4,2,3,1,5,6,5,6,2,6,2,milk,walk,colleagues,home,Yes,,,2025-09-02 06:00:00
12,2025-09-02T08:00:00,5,6,8,7,1,2,3,3,2,2,2,2,6,3,5,oatmeal,golf,colleagues,street,Yes,,,2025-09-02 08:00:00
13,2025-09-02T10:00:00,3,5,1,7,2,7,4,4,1,5,2,3,3,5,7,oatmeal,yoga,partner,cafe,Yes,,,2025-09-02 10:00:00
14,2025-09-02T12:00:00,7,3,4,3,5,2,2,1,4,1,4,5,1,3,1,cracker,golf,colleagues,street,,,,2025-09-02 12:00:00
