,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2,tm
0,0,2025-09-01T08:00:00,6,4,3,1,2,2,5,5,6,6,6,3,5,5,7,φρούτο,τέννις,συνάδελφοι,γραφείο,,,,,2025-09-01 08:00:00
1,1,2025-09-01T10:00:00,6,4,4,5,6,2,5,2,2,2,4,1,1,6,3,φρούτο,ποδήλατο,γείτονες,πάρκο,,,,,2025-09-01 10:00:00
2,2,2025-09-01T12:00:00,1,2,2,6,5,3,5,2,2,2,1,3,3,6,2,ψωμί,τέννις,φίλοι,δρόμος,Yes,,Yes,,2025-09-01 12:00:00
3,3,2025-09-01T14:00:00,4,2,3,2,2,5,4,3,3,3,3,3,2,6,6,γιαούρτι,γκολφ,ξένοι,γραφείο,Yes,,Yes,,2025-09-01 14:00:00
4,4,2025-09-01T16:00:00,5,2,6,4,3,6,6,3,1,3,2,4,3,2,3,γιαούρτι,περπάτημα,συγγενείς,δρόμος,Yes,,Yes,,2025-09-01 16:00:00
5,5,2025-09-01T18:00:00,6,7,6,2,6,4,4,3,4,6,5,4,4,6,3,γάλα,περπάτημα,ξένοι,δρόμος,,,,,2025-09-01 18:00:00
6,6,2025-09-01T20:00:00,3,5,6,4,2,3,6,5,1,3,2,2,3,4,2,ψωμί,γιόγκα,σύντροφος,καφετέρια,,,,,2025-09-01 20:00:00
7,7,2025-09-01T22:00:00,6,4,2,3,5,2,5,7,5,1,6,2,2,2,2,κράκερ,περπάτημα,ξένοι,γραφείο,,,,,2025-09-01 22:00:00
8,8,2025-09-02T00:00:00,7,5,2,1,5,3,4,2,3,5,6,5,3,4,6,φρούτο,κολύμπι,συνάδελφοι,γραφείο,,,,,2025-09-02 00:00:00
9,9,2025-09-02T02:00:00,6,1,5,6,3,7,7,3,5,4,2,4,1,3,1,γάλα,τέννις,ξένοι,πάρκο,,,,,2025-09-02 02:00:00
10,10,2025-09-02T04:00:00,3,5,7,7,4,2,5,7,3,6,1,4,2,4,4,βρώμη,γιόγκα,ξένοι,μαγαζί,,,,,2025-09-02 04:00:00
11,11,2025-09-02T06:00:00,5,1,6,4,5,7,1,6,3,2,2,6,6,3,4,γιαούρτι,γιόγκα,γείτονες,δρόμος,,,,,2025-09-02 06:00:00
12,12,2025-09-02T08:00:00,3,3,2,4,6,2,4,5,4,3,5,2,5,4,3,γάλα,γιόγκα,συγγενείς,δρόμος,,Yes,,Yes,2025-09-02 08:00:00
13,13,2025-09-02T10:00:00,5,3,2,3,5,6,4,7,5,2,6,2,3,2,2,φρούτο,γκολφ,συγγενείς,γραφείο,,Yes,,Yes,2025-09-02 10:00:00
14,14,2025-09-02T12:00:00,3,3,6,3,7,4,3,6,2,3,5,4,4,2,1,φρούτο,γιόγκα,σύντροφος,μαγαζί,,Yes,,Yes,2025-09-02 12:00:00
