,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,2,1,3,3,3,2,3,5,4,4,5,6,3,6,2,oatmeal,swim,friends,office,,,
1,2025-09-01T10:00:00,5,2,6,4,3,4,4,6,6,3,6,1,2,4,6,yoghurt,walk,friends,home,Yes,Yes,
2,2025-09-01T12:00:00,4,4,5,5,5,6,6,3,3,3,5,2,3,2,3,milk,bike,partner,office,Yes,Yes,
3,2025-09-01T14:00:00,3,2,2,7,4,4,5,1,3,2,2,1,3,3,3,cracker,swim,strangers,store,Yes,Yes,
4,2025-09-01T16:00:00,1,5,6,6,2,4,2,7,6,5,3,3,4,3,4,milk,golf,strangers,home,,,
5,2025-09-01T18:00:00,5,2,5,3,5,2,5,3,3,2,2,6,1,3,7,milk,tennis,relatives,office,Yes,,
6,2025-09-01T20:00:00,7,4,5,7,6,5,4,4,2,5,1,4,5,5,7,bread,bike,partner,park,Yes,,Yes
7,2025-09-01T22:00:00,3,3,7,4,5,7,4,6,2,6,4,3,2,2,2,oatmeal,swim,colleagues,store,Yes,,Yes
8,2025-09-02T00:00:00,6,4,6,7,6,4,5,2,3,1,3,4,3,5,5,bread,swim,partner,park,Yes,,Yes
9,2025-09-02T02:00:00,7,2,2,5,4,6,6,4,6,4,1,6,5,7,4,cracker,tennis,friends,home,Yes,,
10,2025-09-02T04:00:00,5,5,4,5,3,1,4,3,2,5,5,5,2,4,5,cracker,bike,friends,store,Yes,,
11,2025-09-02T06:00:00,4,7,2,6,1,4,4,7,4,3,3,6,1,6,2,yoghurt,walk,colleagues,home,Yes,,
12,2025-09-02T08:00:00,2,7,4,7,2,5,4,1,4,3,6,6,3,2,1,yoghurt,yoga,friends,park,Yes,,
13,2025-09-02T10:00:00,6,1,1,4,1,5,6,3,2,3,5,6,4,3,5,oatmeal,walk,strangers,office,Yes,,
14,2025-09-02T12:00:00,3,7,6,7,3,3,4,6,5,5,2,6,3,3,5,yoghurt,golf,colleagues,park,Yes,,
