,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,0,2025-09-01T08:00:00,2,1,3,3,3,2,3,5,4,4,5,6,3,6,2,βρώμη,κολύμπι,φίλοι,γραφείο,,,
1,1,2025-09-01T10:00:00,5,2,6,4,3,4,4,6,6,3,6,1,2,4,6,γιαούρτι,περπάτημα,φίλοι,σπίτι,Yes,Yes,
2,2,2025-09-01T12:00:00,4,4,5,5,5,6,6,3,3,3,5,2,3,2,3,γάλα,ποδήλατο,σύντροφος,γραφείο,Yes,Yes,
3,3,2025-09-01T14:00:00,3,2,2,7,4,4,5,1,3,2,2,1,3,3,3,κράκερ,κολύμπι,ξένοι,μαγαζί,Yes,Yes,
4,4,2025-09-01T16:00:00,1,5,6,6,2,4,2,7,6,5,3,3,4,3,4,γάλα,γκολφ,ξένοι,σπίτι,,,
5,5,2025-09-01T18:00:00,5,2,5,3,5,2,5,3,3,2,2,6,1,3,7,γάλα,τέννις,συγγενείς,γραφείο,Yes,,
6,6,2025-09-01T20:00:00,7,4,5,7,6,5,4,4,2,5,1,4,5,5,7,ψωμί,ποδήλατο,σύντροφος,πάρκο,Yes,,Yes
7,7,2025-09-01T22:00:00,3,3,7,4,5,7,4,6,2,6,4,3,2,2,2,βρώμη,κολύμπι,συνάδελφοι,μαγαζί,Yes,,Yes
8,8,2025-09-02T00:00:00,6,4,6,7,6,4,5,2,3,1,3,4,3,5,5,ψωμί,κολύμπι,σύντροφος,πάρκο,Yes,,Yes
9,9,2025-09-02T02:00:00,7,2,2,5,4,6,6,4,6,4,1,6,5,7,4,κράκερ,τέννις,φίλοι,σπίτι,Yes,,
10,10,2025-09-02T04:00:00,5,5,4,5,3,1,4,3,2,5,5,5,2,4,5,κράκερ,ποδήλατο,φίλοι,μαγαζί,Yes,,
11,11,2025-09-02T06:00:00,4,7,2,6,1,4,4,7,4,3,3,6,1,6,2,γιαούρτι,περπάτημα,συνάδελφοι,σπίτι,Yes,,
12,12,2025-09-02T08:00:00,2,7,4,7,2,5,4,1,4,3,6,6,3,2,1,γιαούρτι,γιόγκα,φίλοι,πάρκο,Yes,,
13,13,2025-09-02T10:00:00,6,1,1,4,1,5,6,3,2,3,5,6,4,3,5,βρώμη,περπάτημα,ξένοι,γραφείο,Yes,,
14,14,2025-09-02T12:00:00,3,7,6,7,3,3,4,6,5,5,2,6,3,3,5,γιαούρτι,γκολφ,συνάδελφοι,πάρκο,Yes,,
