,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,3,5,1,7,6,4,1,7,5,2,2,3,2,2,5,γάλα,τέννις,φίλοι,σπίτι,,,,
1,1,2025-09-01T10:00:00,3,2,3,2,5,2,5,4,1,3,4,3,1,4,2,ψωμί,γκολφ,φίλοι,μαγαζί,Yes,,Yes,
2,2,2025-09-01T12:00:00,5,3,4,6,7,6,3,5,2,4,2,3,4,2,4,γάλα,γκολφ,ξένοι,πάρκο,,,,
3,3,2025-09-01T14:00:00,2,4,7,5,6,2,3,6,3,4,3,3,1,5,4,φρούτο,τέννις,σύντροφος,πάρκο,,Yes,,Yes
4,4,2025-09-01T16:00:00,5,1,5,7,7,3,3,5,1,3,1,1,2,6,2,βρώμη,ποδήλατο,φίλοι,γραφείο,,Yes,,Yes
5,5,2025-09-01T18:00:00,5,3,6,2,3,3,5,2,4,4,4,4,2,2,4,κράκερ,γιόγκα,συνάδελφοι,δρόμος,,,,
6,6,2025-09-01T20:00:00,3,3,2,4,6,1,3,4,3,1,5,2,5,3,2,γάλα,τέννις,γείτονες,καφετέρια,Yes,,Yes,
7,7,2025-09-01T22:00:00,4,5,2,2,1,3,3,7,1,3,3,2,2,3,5,γάλα,κολύμπι,συγγενείς,καφετέρια,,,,
8,8,2025-09-02T00:00:00,4,5,6,6,3,2,2,7,6,2,5,2,3,5,1,κράκερ,κολύμπι,συγγενείς,γραφείο,,,,
9,9,2025-09-02T02:00:00,2,3,2,4,3,7,2,5,2,2,5,2,2,3,5,βρώμη,γκολφ,σύντροφος,γραφείο,,Yes,,Yes
10,10,2025-09-02T04:00:00,1,2,6,5,1,7,6,5,1,4,6,2,4,4,7,ψωμί,ποδήλατο,γείτονες,σπίτι,,Yes,,Yes
11,11,2025-09-02T06:00:00,1,4,5,2,4,4,6,4,2,3,5,1,3,6,4,γιαούρτι,ποδήλατο,σύντροφος,δρόμος,Yes,Yes,Yes,Yes
12,12,2025-09-02T08:00:00,6,4,1,4,6,4,4,5,1,6,5,2,5,3,3,φρούτο,κολύμπι,συγγενείς,γραφείο,,Yes,,Yes
13,13,2025-09-02T10:00:00,6,7,4,2,1,1,6,6,3,5,2,3,3,6,1,γάλα,κολύμπι,σύντροφος,σπίτι,,Yes,,Yes
14,14,2025-09-02T12:00:00,5,7,2,5,4,7,2,6,2,2,4,6,6,5,2,γάλα,κολύμπι,σύντροφος,πάρκο,,Yes,,Yes
