,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,6,6,6,6,5,6,5,3,1,3,3,4,3,3,7,yoghurt,swim,neighbours,home,,,
1,2025-09-01T10:00:00,3,2,3,2,2,6,6,1,6,2,3,5,2,4,2,yoghurt,swim,neighbours,office,Yes,,
2,2025-09-01T12:00:00,5,7,5,1,3,5,6,5,2,3,2,1,3,7,3,cracker,tennis,partner,cafe,Yes,,
3,2025-09-01T14:00:00,6,3,4,3,4,4,1,4,1,2,2,5,3,6,6,bread,walk,relatives,cafe,Yes,Yes,
4,2025-09-01T16:00:00,2,5,2,5,7,5,2,7,4,4,6,5,3,2,1,milk,walk,partner,home,Yes,,Yes
5,2025-09-01T18:00:00,4,1,1,4,1,2,3,2,5,2,3,1,2,5,4,milk,golf,neighbours,store,Yes,Yes,
6,2025-09-01T20:00:00,5,4,3,5,5,3,3,6,5,2,4,4,6,1,6,fruit,golf,relatives,home,Yes,,Yes
7,2025-09-01T22:00:00,7,6,4,4,1,3,4,4,1,3,6,2,3,7,7,milk,tennis,relatives,cafe,,,
8,2025-09-02T00:00:00,1,5,6,2,6,2,2,5,2,2,4,4,1,1,6,bread,yoga,friends,park,Yes,,
9,2025-09-02T02:00:00,1,4,1,2,3,1,6,4,4,2,2,2,2,5,3,bread,bike,partner,office,Yes,,
10,2025-09-02T04:00:00,3,3,5,1,2,1,3,1,4,6,5,4,5,3,1,milk,swim,relatives,store,Yes,,
11,2025-09-02T06:00:00,6,7,4,6,3,7,6,5,5,4,5,2,5,2,2,cracker,yoga,friends,street,Yes,,Yes
12,2025-09-02T08:00:00,6,1,5,7,5,3,7,3,1,5,6,3,3,6,4,cracker,tennis,friends,home,Yes,,
13,2025-09-02T10:00:00,2,1,4,2,2,3,5,2,4,4,3,4,1,2,4,bread,golf,colleagues,cafe,Yes,,
14,2025-09-02T12:00:00,7,5,6,4,3,5,3,7,2,6,2,5,3,6,1,yoghurt,tennis,relatives,street,Yes,Yes,
