,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,4,7,5,4,7,7,5,2,1,3,3,2,5,4,1,yoghurt,tennis,relatives,cafe,,Yes,,Yes
1,2025-09-01T10:00:00,3,3,2,7,6,4,4,5,4,2,1,2,3,2,5,cracker,bike,friends,park,,,,
2,2025-09-01T12:00:00,5,4,6,1,6,4,4,1,5,4,2,5,2,4,4,cracker,bike,strangers,cafe,,,,
3,2025-09-01T14:00:00,2,2,3,3,6,4,3,3,3,2,6,2,3,2,3,bread,golf,relatives,park,,,,
4,2025-09-01T16:00:00,4,5,5,2,2,6,4,6,2,5,5,4,2,5,2,bread,yoga,colleagues,street,,,,
5,2025-09-01T18:00:00,7,6,4,6,5,4,7,7,2,5,4,4,3,5,3,oatmeal,swim,friends,street,,,,
6,2025-09-01T20:00:00,2,5,3,5,2,3,2,4,5,4,6,6,3,4,5,oatmeal,tennis,neighbours,office,,,,
7,2025-09-01T22:00:00,3,3,2,6,2,3,2,4,5,6,3,5,1,6,1,milk,golf,partner,office,,,,
8,2025-09-02T00:00:00,5,7,4,5,3,6,2,5,2,2,5,6,6,6,3,oatmeal,swim,strangers,store,,Yes,,Yes
9,2025-09-02T02:00:00,2,1,3,3,2,1,1,7,4,6,5,2,5,2,5,bread,walk,strangers,park,Yes,,Yes,
10,2025-09-02T04:00:00,2,2,5,5,1,4,2,1,2,1,4,1,3,7,1,fruit,swim,partner,street,,,,
11,2025-09-02T06:00:00,6,1,5,7,4,5,3,3,4,4,3,1,4,5,5,fruit,bike,relatives,park,Yes,,Yes,
12,2025-09-02T08:00:00,7,1,6,2,7,1,5,1,1,2,2,2,1,4,3,fruit,bike,neighbours,park,Yes,,Yes,
13,2025-09-02T10:00:00,3,7,6,2,1,3,7,7,3,2,6,1,3,4,1,oatmeal,bike,strangers,street,,Yes,,Yes
14,2025-09-02T12:00:00,2,2,5,6,2,3,1,2,3,2,3,2,4,6,2,cracker,yoga,neighbours,cafe,,,,
