,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,6,3,2,2,5,3,6,2,4,3,3,2,3,7,5,oatmeal,yoga,friends,street,Yes,Yes
1,2025-09-01T10:00:00,1,4,4,5,5,2,6,6,1,3,3,2,4,5,3,milk,swim,friends,home,Yes,Yes
2,2025-09-01T12:00:00,3,3,4,2,7,1,2,6,6,4,2,4,6,3,3,fruit,golf,neighbours,park,Yes,Yes
3,2025-09-01T14:00:00,3,6,7,6,2,3,3,7,4,4,6,6,4,1,7,fruit,golf,neighbours,home,,
4,2025-09-01T16:00:00,3,6,7,7,7,2,4,5,2,1,2,1,4,2,7,yoghurt,golf,relatives,park,Yes,Yes
5,2025-09-01T18:00:00,3,3,5,5,1,3,2,2,6,6,5,6,2,3,5,fruit,walk,neighbours,street,,
6,2025-09-01T20:00:00,4,5,3,1,7,6,6,4,2,3,2,6,2,2,6,milk,yoga,colleagues,office,,
7,2025-09-01T22:00:00,1,2,7,5,5,4,3,7,6,5,4,6,4,7,6,yoghurt,tennis,relatives,cafe,,
8,2025-09-02T00:00:00,7,5,5,5,6,6,3,2,3,5,6,5,2,6,5,milk,bike,relatives,store,,
9,2025-09-02T02:00:00,2,5,2,4,2,7,6,6,2,4,3,2,5,4,5,oatmeal,bike,partner,home,Yes,Yes
10,2025-09-02T04:00:00,3,5,2,3,3,6,3,7,4,6,1,5,4,6,6,fruit,swim,neighbours,store,,
11,2025-09-02T06:00:00,6,2,2,7,5,1,5,5,5,3,2,3,6,4,5,oatmeal,golf,partner,home,Yes,Yes
12,2025-09-02T08:00:00,6,5,2,4,5,6,1,5,3,3,3,4,6,4,3,fruit,yoga,colleagues,cafe,Yes,Yes
13,2025-09-02T10:00:00,5,1,7,2,2,4,7,4,3,2,6,1,3,3,5,yoghurt,golf,partner,park,Yes,
14,2025-09-02T12:00:00,4,1,3,6,6,4,6,6,2,4,2,6,1,5,6,bread,yoga,partner,office,,
15,2025-09-02T14:00:00,1,5,5,6,1,4,7,3,1,2,3,1,4,1,5,bread,bike,colleagues,home,Yes,Yes
16,2025-09-02T16:00:00,7,1,3,3,2,3,2,6,1,3,3,3,3,5,1,milk,golf,colleagues,store,Yes,Yes
17,2025-09-02T18:00:00,4,4,2,6,3,2,5,6,3,2,3,3,1,2,6,fruit,golf,relatives,office,Yes,Yes
18,2025-09-02T20:00:00,7,4,5,4,2,4,2,5,2,4,2,2,2,4,1,bread,golf,strangers,home,Yes,Yes
19,2025-09-02T22:00:00,1,4,2,3,3,3,6,4,4,5,2,5,6,7,2,oatmeal,walk,neighbours,park,,
