,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,6,3,2,2,5,3,6,2,4,3,3,2,3,7,5,βρώμη,γιόγκα,φίλοι,δρόμος,Yes,Yes
1,1,2025-09-01T10:00:00,1,4,4,5,5,2,6,6,1,3,3,2,4,5,3,γάλα,κολύμπι,φίλοι,σπίτι,Yes,Yes
2,2,2025-09-01T12:00:00,3,3,4,2,7,1,2,6,6,4,2,4,6,3,3,φρούτο,γκολφ,γείτονες,πάρκο,Yes,Yes
3,3,2025-09-01T14:00:00,3,6,7,6,2,3,3,7,4,4,6,6,4,1,7,φρούτο,γκολφ,γείτονες,σπίτι,,
4,4,2025-09-01T16:00:00,3,6,7,7,7,2,4,5,2,1,2,1,4,2,7,γιαούρτι,γκολφ,συγγενείς,πάρκο,Yes,Yes
5,5,2025-09-01T18:00:00,3,3,5,5,1,3,2,2,6,6,5,6,2,3,5,φρούτο,περπάτημα,γείτονες,δρόμος,,
6,6,2025-09-01T20:00:00,4,5,3,1,7,6,6,4,2,3,2,6,2,2,6,γάλα,γιόγκα,συνάδελφοι,γραφείο,,
7,7,2025-09-01T22:00:00,1,2,7,5,5,4,3,7,6,5,4,6,4,7,6,γιαούρτι,τέννις,συγγενείς,καφετέρια,,
8,8,2025-09-02T00:00:00,7,5,5,5,6,6,3,2,3,5,6,5,2,6,5,γάλα,ποδήλατο,συγγενείς,μαγαζί,,
9,9,2025-09-02T02:00:00,2,5,2,4,2,7,6,6,2,4,3,2,5,4,5,βρώμη,ποδήλατο,σύντροφος,σπίτι,Yes,Yes
10,10,2025-09-02T04:00:00,3,5,2,3,3,6,3,7,4,6,1,5,4,6,6,φρούτο,κολύμπι,γείτονες,μαγαζί,,
11,11,2025-09-02T06:00:00,6,2,2,7,5,1,5,5,5,3,2,3,6,4,5,βρώμη,γκολφ,σύντροφος,σπίτι,Yes,Yes
12,12,2025-09-02T08:00:00,6,5,2,4,5,6,1,5,3,3,3,4,6,4,3,φρούτο,γιόγκα,συνάδελφοι,καφετέρια,Yes,Yes
13,13,2025-09-02T10:00:00,5,1,7,2,2,4,7,4,3,2,6,1,3,3,5,γιαούρτι,γκολφ,σύντροφος,πάρκο,Yes,
14,14,2025-09-02T12:00:00,4,1,3,6,6,4,6,6,2,4,2,6,1,5,6,ψωμί,γιόγκα,σύντροφος,γραφείο,,
15,15,2025-09-02T14:00:00,1,5,5,6,1,4,7,3,1,2,3,1,4,1,5,ψωμί,ποδήλατο,συνάδελφοι,σπίτι,Yes,Yes
16,16,2025-09-02T16:00:00,7,1,3,3,2,3,2,6,1,3,3,3,3,5,1,γάλα,γκολφ,συνάδελφοι,μαγαζί,Yes,Yes
17,17,2025-09-02T18:00:00,4,4,2,6,3,2,5,6,3,2,3,3,1,2,6,φρούτο,γκολφ,συγγενείς,γραφείο,Yes,Yes
18,18,2025-09-02T20:00:00,7,4,5,4,2,4,2,5,2,4,2,2,2,4,1,ψωμί,γκολφ,ξένοι,σπίτι,Yes,Yes
19,19,2025-09-02T22:00:00,1,4,2,3,3,3,6,4,4,5,2,5,6,7,2,βρώμη,περπάτημα,γείτονες,πάρκο,,
