,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,3,6,6,3,6,4,6,2,2,2,5,2,4,2,3,milk,bike,colleagues,office,,
1,2025-09-01T10:00:00,2,3,5,3,6,3,4,5,5,5,6,4,5,2,3,oatmeal,golf,friends,street,,
2,2025-09-01T12:00:00,2,7,7,6,2,5,7,2,1,6,3,1,1,2,1,yoghurt,swim,strangers,store,Yes,Yes
3,2025-09-01T14:00:00,2,4,7,3,6,5,3,5,3,5,5,1,4,4,3,oatmeal,bike,friends,park,,
4,2025-09-01T16:00:00,6,6,5,5,2,3,6,5,4,3,5,3,5,7,3,yoghurt,yoga,neighbours,office,,
5,2025-09-01T18:00:00,3,4,1,7,1,6,3,5,3,2,3,2,5,5,2,bread,walk,partner,street,Yes,Yes
6,2025-09-01T20:00:00,3,3,1,2,3,5,5,6,4,3,2,5,2,1,7,bread,tennis,partner,home,,
7,2025-09-01T22:00:00,5,3,4,6,5,2,5,2,5,2,1,2,1,3,6,cracker,walk,friends,park,,
8,2025-09-02T00:00:00,4,1,6,5,1,6,3,6,3,2,4,3,5,5,6,milk,yoga,colleagues,store,Yes,Yes
9,2025-09-02T02:00:00,7,2,1,5,2,5,5,3,1,3,3,4,4,2,3,bread,walk,neighbours,office,Yes,Yes
10,2025-09-02T04:00:00,4,7,4,5,3,2,5,3,1,5,1,3,2,6,2,fruit,bike,colleagues,office,,
11,2025-09-02T06:00:00,4,4,2,3,6,3,7,2,4,5,3,5,5,2,4,fruit,bike,relatives,office,Yes,Yes
12,2025-09-02T08:00:00,5,4,3,2,3,6,5,4,5,3,3,2,5,4,1,oatmeal,bike,partner,park,Yes,Yes
13,2025-09-02T10:00:00,2,6,1,2,3,1,4,1,6,6,3,2,4,6,3,bread,golf,colleagues,street,Yes,Yes
14,2025-09-02T12:00:00,6,5,3,2,3,4,3,3,6,2,5,2,5,6,5,yoghurt,swim,partner,office,,
15,2025-09-02T14:00:00,3,7,4,2,2,7,6,5,3,2,4,3,4,1,3,yoghurt,walk,neighbours,office,Yes,Yes
16,2025-09-02T16:00:00,3,3,2,2,6,3,3,5,2,2,4,4,3,6,3,oatmeal,swim,friends,street,Yes,Yes
17,2025-09-02T18:00:00,5,2,6,2,7,4,5,2,2,4,4,2,1,6,3,fruit,bike,relatives,cafe,Yes,Yes
18,2025-09-02T20:00:00,2,7,1,4,5,6,5,6,2,5,4,4,3,6,6,cracker,yoga,neighbours,office,Yes,Yes
19,2025-09-02T22:00:00,5,2,2,6,3,6,7,4,1,3,3,5,4,6,1,yoghurt,tennis,colleagues,street,Yes,Yes
