,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,3,6,6,3,6,4,6,2,2,2,5,2,4,2,3,γάλα,ποδήλατο,συνάδελφοι,γραφείο,,
1,1,2025-09-01T10:00:00,2,3,5,3,6,3,4,5,5,5,6,4,5,2,3,βρώμη,γκολφ,φίλοι,δρόμος,,
2,2,2025-09-01T12:00:00,2,7,7,6,2,5,7,2,1,6,3,1,1,2,1,γιαούρτι,κολύμπι,ξένοι,μαγαζί,Yes,Yes
3,3,2025-09-01T14:00:00,2,4,7,3,6,5,3,5,3,5,5,1,4,4,3,βρώμη,ποδήλατο,φίλοι,πάρκο,,
4,4,2025-09-01T16:00:00,6,6,5,5,2,3,6,5,4,3,5,3,5,7,3,γιαούρτι,γιόγκα,γείτονες,γραφείο,,
5,5,2025-09-01T18:00:00,3,4,1,7,1,6,3,5,3,2,3,2,5,5,2,ψωμί,περπάτημα,σύντροφος,δρόμος,Yes,Yes
6,6,2025-09-01T20:00:00,3,3,1,2,3,5,5,6,4,3,2,5,2,1,7,ψωμί,τέννις,σύντροφος,σπίτι,,
7,7,2025-09-01T22:00:00,5,3,4,6,5,2,5,2,5,2,1,2,1,3,6,κράκερ,περπάτημα,φίλοι,πάρκο,,
8,8,2025-09-02T00:00:00,4,1,6,5,1,6,3,6,3,2,4,3,5,5,6,γάλα,γιόγκα,συνάδελφοι,μαγαζί,Yes,Yes
9,9,2025-09-02T02:00:00,7,2,1,5,2,5,5,3,1,3,3,4,4,2,3,ψωμί,περπάτημα,γείτονες,γραφείο,Yes,Yes
10,10,2025-09-02T04:00:00,4,7,4,5,3,2,5,3,1,5,1,3,2,6,2,φρούτο,ποδήλατο,συνάδελφοι,γραφείο,,
11,11,2025-09-02T06:00:00,4,4,2,3,6,3,7,2,4,5,3,5,5,2,4,φρούτο,ποδήλατο,συγγενείς,γραφείο,Yes,Yes
12,12,2025-09-02T08:00:00,5,4,3,2,3,6,5,4,5,3,3,2,5,4,1,βρώμη,ποδήλατο,σύντροφος,πάρκο,Yes,Yes
13,13,2025-09-02T10:00:00,2,6,1,2,3,1,4,1,6,6,3,2,4,6,3,ψωμί,γκολφ,συνάδελφοι,δρόμος,Yes,Yes
14,14,2025-09-02T12:00:00,6,5,3,2,3,4,3,3,6,2,5,2,5,6,5,γιαούρτι,κολύμπι,σύντροφος,γραφείο,,
15,15,2025-09-02T14:00:00,3,7,4,2,2,7,6,5,3,2,4,3,4,1,3,γιαούρτι,περπάτημα,γείτονες,γραφείο,Yes,Yes
16,16,2025-09-02T16:00:00,3,3,2,2,6,3,3,5,2,2,4,4,3,6,3,βρώμη,κολύμπι,φίλοι,δρόμος,Yes,Yes
17,17,2025-09-02T18:00:00,5,2,6,2,7,4,5,2,2,4,4,2,1,6,3,φρούτο,ποδήλατο,συγγενείς,καφετέρια,Yes,Yes
18,18,2025-09-02T20:00:00,2,7,1,4,5,6,5,6,2,5,4,4,3,6,6,κράκερ,γιόγκα,γείτονες,γραφείο,Yes,Yes
19,19,2025-09-02T22:00:00,5,2,2,6,3,6,7,4,1,3,3,5,4,6,1,γιαούρτι,τέννις,συνάδελφοι,δρόμος,Yes,Yes
