,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,117,751,36,60,5,3,1,3,6,2,5,βρώμη,γκολφ,σύντροφος,σπίτι,Yes,Yes
1,1,2025-09-01T11:00:00,103,508,50,60,6,4,1,2,4,5,6,κράκερ,κολύμπι,συγγενείς,δρόμος,Yes,Yes
2,2,2025-09-01T12:00:00,144,1029,68,35,2,6,2,3,5,4,5,γιαούρτι,γκολφ,ξένοι,μαγαζί,Yes,Yes
3,3,2025-09-01T13:00:00,125,1100,40,31,7,3,1,5,3,3,4,φρούτο,γιόγκα,σύντροφος,μαγαζί,,
4,4,2025-09-01T14:00:00,147,1185,58,31,2,6,2,4,1,6,5,γάλα,περπάτημα,συγγενείς,σπίτι,,
5,5,2025-09-01T15:00:00,125,1052,57,51,7,2,1,6,2,6,6,γιαούρτι,τέννις,σύντροφος,δρόμος,,
6,6,2025-09-01T16:00:00,71,1205,45,44,3,2,1,4,3,4,7,ψωμί,κολύμπι,συνάδελφοι,σπίτι,,
7,7,2025-09-01T17:00:00,93,1044,30,61,3,2,6,6,3,4,3,βρώμη,γιόγκα,συγγενείς,δρόμος,,
8,8,2025-09-01T18:00:00,126,483,57,34,2,6,2,2,6,6,2,γιαούρτι,ποδήλατο,ξένοι,σπίτι,Yes,Yes
9,9,2025-09-01T19:00:00,111,496,39,63,6,7,4,7,5,2,1,βρώμη,ποδήλατο,ξένοι,μαγαζί,Yes,Yes
10,10,2025-09-01T20:00:00,87,882,46,55,3,5,4,3,6,7,1,γιαούρτι,γιόγκα,συγγενείς,γραφείο,Yes,Yes
11,11,2025-09-01T21:00:00,111,740,49,63,6,2,1,2,1,6,2,ψωμί,κολύμπι,γείτονες,σπίτι,,
12,12,2025-09-01T22:00:00,125,1238,67,42,4,6,2,2,3,3,4,ψωμί,ποδήλατο,γείτονες,γραφείο,,
13,13,2025-09-01T23:00:00,100,1769,37,52,1,6,5,5,2,2,6,βρώμη,περπάτημα,συγγενείς,μαγαζί,,
14,14,2025-09-02T00:00:00,125,1796,53,38,2,5,4,2,3,3,5,βρώμη,ποδήλατο,ξένοι,γραφείο,,
