,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T10:00:00,4,7,1,7,6,7,6,2,3,5,1,1,2,3,3,oatmeal,tennis,colleagues,cafe,,
1,2025-09-01T11:00:00,6,3,7,4,3,6,4,4,2,3,2,6,3,7,4,yoghurt,swim,colleagues,store,,
2,2025-09-01T12:00:00,7,7,4,5,3,1,6,3,3,3,6,5,4,4,4,yoghurt,yoga,friends,store,,
3,2025-09-01T13:00:00,3,1,7,3,6,4,7,2,1,4,5,1,5,6,3,bread,bike,relatives,street,,
4,2025-09-01T14:00:00,6,6,2,6,4,5,6,3,5,4,3,4,6,5,4,yoghurt,swim,friends,office,,
5,2025-09-01T15:00:00,5,6,6,2,3,3,1,5,4,4,5,5,3,2,6,yoghurt,walk,relatives,park,,
6,2025-09-01T16:00:00,5,2,6,7,1,5,7,4,3,2,2,5,1,5,2,fruit,golf,relatives,home,,
7,2025-09-01T17:00:00,2,5,7,3,6,7,2,3,5,4,2,3,5,7,4,oatmeal,walk,partner,street,Yes,Yes
8,2025-09-01T18:00:00,1,4,1,2,3,5,6,4,3,5,4,3,3,6,2,milk,swim,relatives,street,Yes,Yes
9,2025-09-01T19:00:00,3,7,3,3,4,3,6,4,4,5,4,3,5,5,4,oatmeal,tennis,colleagues,cafe,Yes,Yes
10,2025-09-01T20:00:00,5,2,1,3,3,2,5,4,6,3,1,5,5,4,3,fruit,walk,colleagues,office,,
11,2025-09-01T21:00:00,3,4,6,6,5,3,3,4,4,3,3,3,1,2,6,oatmeal,tennis,strangers,office,Yes,Yes
12,2025-09-01T22:00:00,4,6,3,7,5,2,1,7,4,4,6,2,5,2,6,yoghurt,walk,relatives,office,Yes,Yes
13,2025-09-01T23:00:00,3,5,7,6,3,2,2,6,3,4,4,2,2,4,7,milk,yoga,relatives,store,Yes,Yes
14,2025-09-02T00:00:00,6,3,3,4,1,2,5,2,6,3,6,4,3,2,3,yoghurt,tennis,partner,cafe,,
