,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,4,7,1,7,6,7,6,2,3,5,1,1,2,3,3,βρώμη,τέννις,συνάδελφοι,καφετέρια,,
1,1,2025-09-01T11:00:00,6,3,7,4,3,6,4,4,2,3,2,6,3,7,4,γιαούρτι,κολύμπι,συνάδελφοι,μαγαζί,,
2,2,2025-09-01T12:00:00,7,7,4,5,3,1,6,3,3,3,6,5,4,4,4,γιαούρτι,γιόγκα,φίλοι,μαγαζί,,
3,3,2025-09-01T13:00:00,3,1,7,3,6,4,7,2,1,4,5,1,5,6,3,ψωμί,ποδήλατο,συγγενείς,δρόμος,,
4,4,2025-09-01T14:00:00,6,6,2,6,4,5,6,3,5,4,3,4,6,5,4,γιαούρτι,κολύμπι,φίλοι,γραφείο,,
5,5,2025-09-01T15:00:00,5,6,6,2,3,3,1,5,4,4,5,5,3,2,6,γιαούρτι,περπάτημα,συγγενείς,πάρκο,,
6,6,2025-09-01T16:00:00,5,2,6,7,1,5,7,4,3,2,2,5,1,5,2,φρούτο,γκολφ,συγγενείς,σπίτι,,
7,7,2025-09-01T17:00:00,2,5,7,3,6,7,2,3,5,4,2,3,5,7,4,βρώμη,περπάτημα,σύντροφος,δρόμος,Yes,Yes
8,8,2025-09-01T18:00:00,1,4,1,2,3,5,6,4,3,5,4,3,3,6,2,γάλα,κολύμπι,συγγενείς,δρόμος,Yes,Yes
9,9,2025-09-01T19:00:00,3,7,3,3,4,3,6,4,4,5,4,3,5,5,4,βρώμη,τέννις,συνάδελφοι,καφετέρια,Yes,Yes
10,10,2025-09-01T20:00:00,5,2,1,3,3,2,5,4,6,3,1,5,5,4,3,φρούτο,περπάτημα,συνάδελφοι,γραφείο,,
11,11,2025-09-01T21:00:00,3,4,6,6,5,3,3,4,4,3,3,3,1,2,6,βρώμη,τέννις,ξένοι,γραφείο,Yes,Yes
12,12,2025-09-01T22:00:00,4,6,3,7,5,2,1,7,4,4,6,2,5,2,6,γιαούρτι,περπάτημα,συγγενείς,γραφείο,Yes,Yes
13,13,2025-09-01T23:00:00,3,5,7,6,3,2,2,6,3,4,4,2,2,4,7,γάλα,γιόγκα,συγγενείς,μαγαζί,Yes,Yes
14,14,2025-09-02T00:00:00,6,3,3,4,1,2,5,2,6,3,6,4,3,2,3,γιαούρτι,τέννις,σύντροφος,καφετέρια,,
