,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,0,2025-09-01T10:00:00,7,2,6,3,4,3,1,5,5,6,6,4,6,6,7,γάλα,γκολφ,φίλοι,πάρκο,Yes,,2025-09-01 10:00:00
1,1,2025-09-01T11:00:00,5,2,7,4,6,6,3,3,3,2,3,1,4,3,2,γάλα,γιόγκα,συγγενείς,καφετέρια,Yes,Yes,2025-09-01 11:00:00
2,2,2025-09-01T12:00:00,4,5,4,7,3,6,7,4,4,4,6,6,2,5,3,φρούτο,γιόγκα,συνάδελφοι,σπίτι,Yes,Yes,2025-09-01 12:00:00
3,3,2025-09-01T13:00:00,2,3,5,4,3,3,5,4,3,3,5,2,1,5,5,ψωμί,γκολφ,φίλοι,γραφείο,Yes,Yes,2025-09-01 13:00:00
4,4,2025-09-01T14:00:00,3,4,6,1,1,6,7,5,3,3,5,2,4,6,3,φρούτο,γκολφ,συνάδελφοι,καφετέρια,Yes,,2025-09-01 14:00:00
5,5,2025-09-01T15:00:00,3,5,4,7,6,6,5,5,6,5,1,6,6,2,7,κράκερ,κολύμπι,σύντροφος,μαγαζί,Yes,,2025-09-01 15:00:00
6,6,2025-09-01T16:00:00,3,7,3,4,4,1,4,4,3,2,1,5,2,2,6,γάλα,περπάτημα,γείτονες,πάρκο,Yes,,2025-09-01 16:00:00
7,7,2025-09-01T17:00:00,6,4,5,2,4,1,6,4,6,3,5,4,2,2,4,γιαούρτι,τέννις,συνάδελφοι,πάρκο,Yes,,2025-09-01 17:00:00
8,8,2025-09-01T18:00:00,3,5,3,3,4,5,6,1,4,4,5,5,1,4,2,φρούτο,γκολφ,συγγενείς,καφετέρια,Yes,Yes,2025-09-01 18:00:00
9,9,2025-09-01T19:00:00,6,2,4,1,5,3,6,5,4,3,1,6,3,5,7,φρούτο,ποδήλατο,συνάδελφοι,δρόμος,Yes,Yes,2025-09-01 19:00:00
10,10,2025-09-01T20:00:00,4,5,4,2,6,2,1,4,1,5,1,4,3,5,2,γιαούρτι,γιόγκα,συγγενείς,σπίτι,Yes,Yes,2025-09-01 20:00:00
11,11,2025-09-01T21:00:00,6,2,7,4,3,3,1,2,1,5,6,3,3,2,1,γάλα,περπάτημα,ξένοι,σπίτι,Yes,,2025-09-01 21:00:00
12,12,2025-09-01T22:00:00,3,2,2,2,2,5,6,4,5,3,6,4,3,6,6,κράκερ,περπάτημα,ξένοι,γραφείο,Yes,,2025-09-01 22:00:00
13,13,2025-09-01T23:00:00,5,2,7,2,2,2,1,0,3,5,2,5,2,6,4,ψωμί,γκολφ,φίλοι,πάρκο,,,2025-09-01 23:00:00
14,14,2025-09-02T00:00:00,6,5,6,6,3,1,7,6,1,4,4,5,1,4,1,γάλα,κολύμπι,συγγενείς,πάρκο,,,2025-09-02 00:00:00
