,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,0,2025-09-01T10:00:00,5,6,4,7,4,3,4,6,2,4,4,5,5,4,4,κράκερ,περπάτημα,συγγενείς,δρόμος,,,2025-09-01 10:00:00
1,1,2025-09-01T11:00:00,4,2,3,2,5,3,4,2,2,1,1,1,5,2,4,ψωμί,κολύμπι,σύντροφος,σπίτι,Yes,,2025-09-01 11:00:00
2,2,2025-09-01T12:00:00,2,2,6,1,3,2,4,2,3,5,3,2,3,6,4,κράκερ,γκολφ,συγγενείς,καφετέρια,Yes,,2025-09-01 12:00:00
3,3,2025-09-01T13:00:00,6,4,4,5,4,3,6,2,4,2,2,5,2,2,1,φρούτο,γκολφ,σύντροφος,δρόμος,Yes,,2025-09-01 13:00:00
4,4,2025-09-01T14:00:00,7,4,3,4,7,5,2,5,4,3,3,2,2,5,3,γιαούρτι,γιόγκα,φίλοι,γραφείο,Yes,Yes,2025-09-01 14:00:00
5,5,2025-09-01T15:00:00,3,2,5,2,5,4,4,3,1,4,3,3,4,3,5,βρώμη,τέννις,συνάδελφοι,σπίτι,Yes,Yes,2025-09-01 15:00:00
6,6,2025-09-01T16:00:00,2,3,5,4,7,4,4,1,4,1,3,6,2,5,5,φρούτο,περπάτημα,φίλοι,δρόμος,Yes,Yes,2025-09-01 16:00:00
7,7,2025-09-01T17:00:00,4,6,4,3,5,3,5,6,2,2,4,4,5,4,3,βρώμη,γκολφ,συγγενείς,γραφείο,,,2025-09-01 17:00:00
8,8,2025-09-01T18:00:00,2,2,4,7,5,4,5,3,4,3,1,2,6,5,6,κράκερ,γιόγκα,συγγενείς,μαγαζί,Yes,Yes,2025-09-01 18:00:00
9,9,2025-09-01T19:00:00,2,2,2,6,6,2,5,2,2,5,4,4,3,3,2,γιαούρτι,γκολφ,συγγενείς,γραφείο,Yes,Yes,2025-09-01 19:00:00
10,10,2025-09-01T20:00:00,7,7,2,7,6,2,3,2,4,2,5,2,5,5,3,κράκερ,κολύμπι,συγγενείς,γραφείο,Yes,Yes,2025-09-01 20:00:00
11,11,2025-09-01T21:00:00,1,6,5,2,2,6,4,2,4,2,3,3,3,2,7,βρώμη,ποδήλατο,φίλοι,καφετέρια,Yes,,2025-09-01 21:00:00
12,12,2025-09-01T22:00:00,3,2,4,5,3,1,2,5,2,3,4,5,4,2,2,γάλα,γιόγκα,συγγενείς,μαγαζί,Yes,,2025-09-01 22:00:00
13,13,2025-09-01T23:00:00,5,7,2,2,4,4,5,3,3,3,6,4,5,2,4,βρώμη,γιόγκα,σύντροφος,σπίτι,Yes,,2025-09-01 23:00:00
14,14,2025-09-02T00:00:00,6,4,4,3,6,4,4,2,3,3,2,6,3,6,6,γιαούρτι,περπάτημα,συνάδελφοι,σπίτι,Yes,,2025-09-02 00:00:00
