,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,2025-09-01T10:00:00,6,3,5,6,4,6,3,7,4,2,2,5,5,1,7,milk,walk,strangers,store,Yes,Yes,2025-09-01 10:00:00
1,2025-09-01T11:00:00,6,3,4,6,1,2,1,6,1,1,2,2,5,6,6,milk,tennis,relatives,office,Yes,Yes,2025-09-01 11:00:00
2,2025-09-01T12:00:00,4,2,5,7,7,3,4,7,3,5,3,5,2,6,6,oatmeal,tennis,relatives,office,Yes,Yes,2025-09-01 12:00:00
3,2025-09-01T13:00:00,4,3,3,3,1,5,6,4,2,4,4,6,6,1,4,milk,walk,colleagues,cafe,,,2025-09-01 13:00:00
4,2025-09-01T14:00:00,5,4,6,5,4,6,5,3,5,2,5,2,4,3,3,fruit,swim,partner,office,,,2025-09-01 14:00:00
5,2025-09-01T15:00:00,4,5,1,5,6,4,5,1,2,6,5,2,4,4,2,oatmeal,swim,colleagues,store,,,2025-09-01 15:00:00
6,2025-09-01T16:00:00,3,6,6,2,1,3,4,4,3,5,5,2,5,5,4,bread,golf,strangers,office,,,2025-09-01 16:00:00
7,2025-09-01T17:00:00,6,2,2,4,3,4,2,4,5,4,6,2,5,4,5,fruit,bike,relatives,home,,,2025-09-01 17:00:00
8,2025-09-01T18:00:00,3,2,5,7,1,3,4,2,4,6,2,3,1,6,1,cracker,yoga,partner,cafe,Yes,Yes,2025-09-01 18:00:00
9,2025-09-01T19:00:00,2,6,4,6,5,4,3,6,4,2,2,6,3,3,2,yoghurt,tennis,strangers,store,Yes,Yes,2025-09-01 19:00:00
10,2025-09-01T20:00:00,3,3,5,3,4,3,4,1,4,5,5,5,2,4,1,cracker,walk,colleagues,cafe,Yes,Yes,2025-09-01 20:00:00
11,2025-09-01T21:00:00,5,3,3,4,6,7,6,6,6,3,4,3,3,3,6,fruit,yoga,neighbours,office,,,2025-09-01 21:00:00
12,2025-09-01T22:00:00,4,1,1,6,5,3,2,4,4,3,5,2,1,2,2,fruit,golf,partner,office,,,2025-09-01 22:00:00
13,2025-09-01T23:00:00,5,6,1,7,1,7,1,6,3,6,1,4,3,6,1,milk,walk,colleagues,street,,,2025-09-01 23:00:00
14,2025-09-02T00:00:00,5,3,2,4,4,6,2,2,5,2,2,2,6,2,7,bread,swim,relatives,park,,,2025-09-02 00:00:00
