,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,1,3,5,3,7,4,5,7,1,3,4,4,4,3,6,κράκερ,γιόγκα,γείτονες,δρόμος,,
1,1,2025-09-01T11:00:00,2,6,6,7,1,4,4,1,2,2,5,4,6,2,6,κράκερ,γιόγκα,συνάδελφοι,γραφείο,,
2,2,2025-09-01T12:00:00,7,7,1,6,6,5,6,7,4,4,1,3,2,5,5,γάλα,τέννις,γείτονες,πάρκο,,
3,3,2025-09-01T13:00:00,6,2,7,2,5,3,4,1,4,2,3,3,5,7,2,γάλα,γκολφ,φίλοι,γραφείο,,
4,4,2025-09-01T14:00:00,6,6,2,6,3,4,1,7,5,3,6,5,2,1,6,βρώμη,τέννις,συγγενείς,μαγαζί,,
5,5,2025-09-01T15:00:00,6,4,4,7,2,2,5,1,1,4,5,2,2,4,2,κράκερ,ποδήλατο,σύντροφος,δρόμος,,
6,6,2025-09-01T16:00:00,3,3,3,5,1,6,2,4,4,6,2,3,6,4,4,ψωμί,γιόγκα,γείτονες,πάρκο,Yes,Yes
7,7,2025-09-01T17:00:00,3,1,3,4,2,4,6,2,5,1,4,6,6,2,2,φρούτο,περπάτημα,συνάδελφοι,γραφείο,Yes,Yes
8,8,2025-09-01T18:00:00,5,2,2,5,5,6,1,3,5,3,2,3,5,2,1,ψωμί,τέννις,συνάδελφοι,σπίτι,Yes,Yes
9,9,2025-09-01T19:00:00,2,3,7,3,5,5,3,1,4,2,1,4,5,2,4,γιαούρτι,γιόγκα,συγγενείς,μαγαζί,,
10,10,2025-09-01T20:00:00,5,6,2,4,3,5,5,1,4,6,6,5,3,5,5,βρώμη,περπάτημα,σύντροφος,καφετέρια,,
11,11,2025-09-01T21:00:00,5,4,7,5,5,6,3,3,5,1,3,4,4,5,3,κράκερ,γκολφ,σύντροφος,μαγαζί,Yes,Yes
12,12,2025-09-01T22:00:00,6,2,7,3,6,4,6,5,4,1,4,4,1,6,4,ψωμί,περπάτημα,συνάδελφοι,δρόμος,Yes,Yes
13,13,2025-09-01T23:00:00,5,2,5,5,7,2,6,4,4,4,3,4,2,7,3,γάλα,τέννις,φίλοι,καφετέρια,Yes,Yes
14,14,2025-09-02T00:00:00,2,4,6,4,5,3,3,1,3,1,3,4,2,7,5,φρούτο,περπάτημα,σύντροφος,γραφείο,,
