,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,tm
0,2025-09-01T22:00:00,5,2,6,4,3,5,3,5,3,3,6,3,3,3,6,milk,swim,relatives,park,Yes,,2025-09-01 22:00:00
1,2025-09-01T23:00:00,7,6,5,2,6,6,3,6,6,1,4,6,5,6,3,fruit,tennis,strangers,park,Yes,,2025-09-01 23:00:00
2,2025-09-02T00:00:00,4,2,7,6,1,5,6,3,5,5,4,2,4,3,7,yoghurt,swim,friends,park,Yes,,2025-09-02 00:00:00
3,2025-09-02T01:00:00,6,6,4,7,2,1,6,3,4,5,5,5,4,3,2,cracker,yoga,neighbours,office,Yes,,2025-09-02 01:00:00
4,2025-09-02T02:00:00,5,5,3,3,1,6,6,1,3,3,2,2,3,2,4,cracker,bike,friends,home,,,2025-09-02 02:00:00
5,2025-09-02T03:00:00,7,3,4,5,4,2,2,4,5,3,3,6,1,6,4,cracker,swim,neighbours,street,Yes,Yes,2025-09-02 03:00:00
6,2025-09-02T04:00:00,2,3,4,1,3,3,5,6,2,3,1,5,4,3,6,oatmeal,walk,relatives,cafe,Yes,Yes,2025-09-02 04:00:00
7,2025-09-02T05:00:00,1,3,4,4,3,4,2,3,5,3,1,2,2,3,2,bread,swim,strangers,street,Yes,Yes,2025-09-02 05:00:00
8,2025-09-02T06:00:00,3,3,5,7,2,7,1,5,3,2,5,4,1,6,5,yoghurt,bike,partner,park,Yes,,2025-09-02 06:00:00
9,2025-09-02T07:00:00,4,7,5,7,4,2,3,1,3,2,5,4,5,6,2,milk,walk,relatives,street,Yes,,2025-09-02 07:00:00
10,2025-09-02T08:00:00,6,6,6,5,6,6,5,3,5,4,4,5,4,2,4,bread,swim,relatives,home,Yes,,2025-09-02 08:00:00
11,2025-09-02T09:00:00,5,6,4,3,4,6,4,4,4,3,6,2,3,5,6,fruit,walk,partner,cafe,Yes,,2025-09-02 09:00:00
12,2025-09-02T10:00:00,4,4,5,6,1,3,1,5,6,6,3,4,1,7,4,oatmeal,yoga,partner,office,Yes,Yes,2025-09-02 10:00:00
13,2025-09-02T11:00:00,5,6,4,1,5,6,6,6,6,6,1,2,3,7,4,cracker,golf,partner,cafe,Yes,Yes,2025-09-02 11:00:00
14,2025-09-02T12:00:00,5,3,5,4,3,4,2,1,1,6,3,4,3,2,4,yoghurt,yoga,strangers,street,Yes,Yes,2025-09-02 12:00:00
