,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,1,2,1,3,5,5,4,4,2,1,2,6,2,6,6,cracker,swim,relatives,store,Yes,Yes
1,2025-09-01T10:00:00,3,4,3,6,2,3,2,4,3,2,5,2,1,2,4,milk,golf,colleagues,street,Yes,Yes
2,2025-09-01T12:00:00,2,5,5,6,4,6,4,7,4,6,5,3,1,2,6,milk,yoga,neighbours,store,Yes,Yes
3,2025-09-01T14:00:00,6,6,3,5,7,5,6,1,2,4,2,4,3,2,4,oatmeal,bike,colleagues,home,Yes,Yes
4,2025-09-01T16:00:00,4,7,4,2,2,5,4,1,3,6,1,6,3,3,2,cracker,tennis,colleagues,street,Yes,Yes
5,2025-09-01T18:00:00,1,3,2,3,3,2,5,1,5,4,5,1,4,7,7,yoghurt,tennis,relatives,street,Yes,Yes
6,2025-09-01T20:00:00,1,3,3,5,6,3,3,4,3,2,6,1,6,3,1,bread,walk,friends,street,Yes,Yes
7,2025-09-01T22:00:00,5,4,4,5,5,5,1,7,6,2,1,1,5,4,6,bread,tennis,relatives,store,Yes,Yes
8,2025-09-02T00:00:00,2,2,5,4,7,4,4,6,1,3,6,2,2,6,3,oatmeal,golf,strangers,cafe,Yes,Yes
9,2025-09-02T02:00:00,5,5,5,7,5,3,3,4,5,4,5,3,5,6,6,oatmeal,tennis,neighbours,office,,
10,2025-09-02T04:00:00,5,3,4,1,5,7,4,7,4,2,2,3,4,2,7,bread,tennis,partner,home,,
11,2025-09-02T06:00:00,4,7,3,6,2,7,7,5,1,5,1,3,5,5,2,fruit,yoga,neighbours,office,Yes,Yes
12,2025-09-02T08:00:00,6,3,7,4,3,5,7,6,1,1,4,2,1,3,7,cracker,yoga,colleagues,home,Yes,Yes
13,2025-09-02T10:00:00,5,7,6,5,4,7,6,3,2,4,3,4,2,2,1,fruit,swim,friends,cafe,Yes,Yes
14,2025-09-02T12:00:00,4,6,4,3,6,5,5,2,4,2,2,2,6,4,1,cracker,swim,strangers,park,Yes,Yes
