,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T10:00:00,94,1621,57,67,5,3,1,6,4,6,yoghurt,swim,colleagues,park,Yes,Yes
1,2025-09-01T11:00:00,119,512,68,33,1,4,5,5,7,7,fruit,yoga,partner,cafe,Yes,Yes
2,2025-09-01T12:00:00,109,1632,48,44,5,2,5,5,6,3,fruit,bike,partner,cafe,Yes,Yes
3,2025-09-01T13:00:00,129,1431,59,43,4,4,6,7,1,6,yoghurt,tennis,friends,park,,
4,2025-09-01T14:00:00,87,1021,44,58,3,6,6,7,4,4,oatmeal,walk,relatives,park,,
5,2025-09-01T15:00:00,121,1150,38,63,3,3,7,1,2,3,fruit,walk,colleagues,office,,
6,2025-09-01T16:00:00,64,666,63,39,6,7,3,7,1,2,yoghurt,swim,friends,park,,
7,2025-09-01T17:00:00,109,1516,53,66,6,4,2,1,3,7,oatmeal,yoga,partner,office,,
8,2025-09-01T18:00:00,97,464,40,69,7,2,2,6,2,3,cracker,tennis,partner,home,Yes,Yes
9,2025-09-01T19:00:00,94,756,46,46,6,5,2,2,2,5,yoghurt,walk,friends,office,Yes,Yes
10,2025-09-01T20:00:00,149,1096,66,64,7,2,3,3,1,4,oatmeal,swim,colleagues,park,Yes,Yes
11,2025-09-01T21:00:00,148,457,55,50,7,7,4,7,4,2,fruit,bike,relatives,home,,
12,2025-09-01T22:00:00,134,577,42,34,3,2,5,7,5,2,milk,tennis,relatives,office,,
13,2025-09-01T23:00:00,124,1441,50,63,2,7,3,1,2,3,oatmeal,tennis,partner,office,,
14,2025-09-02T00:00:00,96,595,61,31,7,3,2,7,3,6,milk,swim,colleagues,cafe,,
