,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,94,1621,57,67,5,3,1,6,4,6,γιαούρτι,κολύμπι,συνάδελφοι,πάρκο,Yes,Yes
1,1,2025-09-01T11:00:00,119,512,68,33,1,4,5,5,7,7,φρούτο,γιόγκα,σύντροφος,καφετέρια,Yes,Yes
2,2,2025-09-01T12:00:00,109,1632,48,44,5,2,5,5,6,3,φρούτο,ποδήλατο,σύντροφος,καφετέρια,Yes,Yes
3,3,2025-09-01T13:00:00,129,1431,59,43,4,4,6,7,1,6,γιαούρτι,τέννις,φίλοι,πάρκο,,
4,4,2025-09-01T14:00:00,87,1021,44,58,3,6,6,7,4,4,βρώμη,περπάτημα,συγγενείς,πάρκο,,
5,5,2025-09-01T15:00:00,121,1150,38,63,3,3,7,1,2,3,φρούτο,περπάτημα,συνάδελφοι,γραφείο,,
6,6,2025-09-01T16:00:00,64,666,63,39,6,7,3,7,1,2,γιαούρτι,κολύμπι,φίλοι,πάρκο,,
7,7,2025-09-01T17:00:00,109,1516,53,66,6,4,2,1,3,7,βρώμη,γιόγκα,σύντροφος,γραφείο,,
8,8,2025-09-01T18:00:00,97,464,40,69,7,2,2,6,2,3,κράκερ,τέννις,σύντροφος,σπίτι,Yes,Yes
9,9,2025-09-01T19:00:00,94,756,46,46,6,5,2,2,2,5,γιαούρτι,περπάτημα,φίλοι,γραφείο,Yes,Yes
10,10,2025-09-01T20:00:00,149,1096,66,64,7,2,3,3,1,4,βρώμη,κολύμπι,συνάδελφοι,πάρκο,Yes,Yes
11,11,2025-09-01T21:00:00,148,457,55,50,7,7,4,7,4,2,φρούτο,ποδήλατο,συγγενείς,σπίτι,,
12,12,2025-09-01T22:00:00,134,577,42,34,3,2,5,7,5,2,γάλα,τέννις,συγγενείς,γραφείο,,
13,13,2025-09-01T23:00:00,124,1441,50,63,2,7,3,1,2,3,βρώμη,τέννις,σύντροφος,γραφείο,,
14,14,2025-09-02T00:00:00,96,595,61,31,7,3,2,7,3,6,γάλα,κολύμπι,συνάδελφοι,καφετέρια,,
