,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,1,6,2,5,3,2,6,2,2,2,3,5,5,7,6,βρώμη,τέννις,γείτονες,καφετέρια,Yes,
1,1,2025-09-01T10:00:00,3,5,5,6,6,5,1,7,3,3,4,4,2,6,7,γιαούρτι,περπάτημα,φίλοι,πάρκο,Yes,Yes
2,2,2025-09-01T12:00:00,7,4,7,3,4,2,5,6,6,3,4,3,5,1,2,γιαούρτι,κολύμπι,συνάδελφοι,σπίτι,,
3,3,2025-09-01T14:00:00,2,2,4,7,7,4,4,3,5,6,6,5,3,3,5,βρώμη,περπάτημα,συνάδελφοι,πάρκο,Yes,
4,4,2025-09-01T16:00:00,3,7,4,7,2,6,3,2,3,3,1,4,3,2,4,γιαούρτι,γκολφ,σύντροφος,δρόμος,Yes,Yes
5,5,2025-09-01T18:00:00,6,1,5,4,2,3,7,1,5,4,2,4,4,4,1,ψωμί,τέννις,φίλοι,μαγαζί,Yes,
6,6,2025-09-01T20:00:00,6,3,1,4,5,6,2,7,4,4,1,2,4,5,3,κράκερ,ποδήλατο,σύντροφος,μαγαζί,Yes,Yes
7,7,2025-09-01T22:00:00,4,4,6,7,2,3,6,5,5,4,1,2,2,1,1,φρούτο,περπάτημα,συγγενείς,δρόμος,Yes,
8,8,2025-09-02T00:00:00,7,2,2,4,6,3,4,5,2,6,2,6,6,7,6,βρώμη,γιόγκα,γείτονες,μαγαζί,Yes,
9,9,2025-09-02T02:00:00,6,6,4,2,5,7,7,6,3,1,2,1,6,6,3,ψωμί,γκολφ,συγγενείς,πάρκο,,
10,10,2025-09-02T04:00:00,4,2,6,6,5,3,2,4,3,3,4,3,5,5,4,βρώμη,γιόγκα,φίλοι,δρόμος,Yes,Yes
11,11,2025-09-02T06:00:00,2,1,1,5,6,5,5,6,3,1,2,1,4,5,4,βρώμη,κολύμπι,φίλοι,γραφείο,Yes,
12,12,2025-09-02T08:00:00,4,6,5,7,3,5,5,6,6,2,2,2,5,2,5,φρούτο,τέννις,ξένοι,πάρκο,Yes,
13,13,2025-09-02T10:00:00,4,5,6,7,6,1,3,2,4,5,3,5,3,1,1,γάλα,κολύμπι,φίλοι,μαγαζί,Yes,Yes
14,14,2025-09-02T12:00:00,1,6,2,4,7,6,3,5,3,5,4,2,2,3,5,γάλα,γκολφ,γείτονες,σπίτι,Yes,Yes
