,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T10:00:00,2,5,4,6,4,1,1,2,4,2,5,5,3,6,1,βρώμη,τέννις,γείτονες,γραφείο,Yes,Yes
1,1,2025-09-01T11:00:00,7,7,2,1,5,4,2,3,4,3,2,3,5,4,1,ψωμί,γιόγκα,ξένοι,καφετέρια,Yes,Yes
2,2,2025-09-01T12:00:00,7,6,5,5,4,2,3,3,3,6,1,2,3,4,4,γιαούρτι,κολύμπι,γείτονες,δρόμος,Yes,Yes
3,3,2025-09-01T13:00:00,1,6,7,5,4,5,7,2,5,2,3,2,5,4,3,βρώμη,ποδήλατο,σύντροφος,πάρκο,Yes,Yes
4,4,2025-09-01T14:00:00,6,2,6,5,6,7,5,3,2,3,2,3,5,4,6,κράκερ,ποδήλατο,συγγενείς,σπίτι,Yes,Yes
5,5,2025-09-01T15:00:00,5,5,3,4,3,4,6,2,5,5,3,2,2,4,7,γάλα,κολύμπι,σύντροφος,καφετέρια,Yes,Yes
6,6,2025-09-01T16:00:00,5,6,2,5,1,3,4,4,4,3,2,2,5,7,7,γιαούρτι,κολύμπι,φίλοι,γραφείο,,
7,7,2025-09-01T17:00:00,1,3,3,6,6,5,7,1,5,6,4,4,1,6,7,γάλα,τέννις,φίλοι,μαγαζί,,
8,8,2025-09-01T18:00:00,6,1,3,3,3,6,2,4,4,5,3,3,2,6,5,γιαούρτι,τέννις,συνάδελφοι,καφετέρια,,
9,9,2025-09-01T19:00:00,3,5,5,2,3,1,6,6,2,5,2,6,2,5,4,ψωμί,τέννις,γείτονες,μαγαζί,,
10,10,2025-09-01T20:00:00,6,4,4,2,2,4,6,5,4,4,5,5,4,3,1,φρούτο,γιόγκα,συγγενείς,γραφείο,,
11,11,2025-09-01T21:00:00,4,7,7,4,4,5,4,1,3,4,1,2,1,1,6,φρούτο,γιόγκα,συνάδελφοι,πάρκο,,
12,12,2025-09-01T22:00:00,6,3,2,2,6,6,1,1,1,4,6,5,4,6,4,ψωμί,γκολφ,συνάδελφοι,καφετέρια,,
13,13,2025-09-01T23:00:00,5,2,6,4,1,2,1,6,3,5,6,2,6,4,2,φρούτο,περπάτημα,συγγενείς,γραφείο,,
14,14,2025-09-02T00:00:00,3,4,7,4,4,6,6,4,2,1,2,4,1,4,3,κράκερ,περπάτημα,συνάδελφοι,πάρκο,,
