,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,7,7,3,2,5,5,2,7,4,3,6,5,4,2,1,fruit,tennis,colleagues,store,Yes,,Yes
1,2025-09-01T10:00:00,7,7,2,6,4,3,6,1,5,2,6,5,3,6,4,yoghurt,walk,neighbours,park,Yes,,
2,2025-09-01T12:00:00,1,4,4,5,2,2,2,5,2,3,5,2,3,3,3,milk,yoga,partner,street,Yes,,
3,2025-09-01T14:00:00,2,4,7,4,3,4,4,1,3,5,2,3,4,4,4,fruit,golf,strangers,street,,,
4,2025-09-01T16:00:00,6,3,5,4,5,7,6,3,1,2,1,4,2,7,2,cracker,tennis,strangers,street,,,
5,2025-09-01T18:00:00,5,1,2,4,2,5,2,6,3,4,5,1,6,5,5,milk,tennis,colleagues,home,Yes,,Yes
6,2025-09-01T20:00:00,5,1,6,7,6,1,2,2,5,3,4,1,6,3,1,cracker,golf,partner,store,,,
7,2025-09-01T22:00:00,3,4,6,4,3,6,6,2,5,4,6,3,5,7,3,cracker,tennis,colleagues,street,Yes,,Yes
8,2025-09-02T00:00:00,5,3,5,6,6,5,4,5,6,2,6,2,3,3,3,cracker,tennis,relatives,store,Yes,,
9,2025-09-02T02:00:00,5,3,6,3,3,6,5,3,5,6,6,5,4,1,7,oatmeal,tennis,friends,home,Yes,Yes,
10,2025-09-02T04:00:00,4,6,6,6,7,2,1,1,5,2,2,2,4,5,1,milk,swim,colleagues,home,,,
11,2025-09-02T06:00:00,2,4,6,6,5,5,3,7,5,4,3,1,1,2,6,bread,tennis,colleagues,cafe,,,
12,2025-09-02T08:00:00,4,4,3,4,4,1,2,2,3,3,2,2,3,3,2,fruit,bike,partner,office,,,
13,2025-09-02T10:00:00,3,2,7,4,4,5,5,1,2,1,5,2,4,6,4,yoghurt,tennis,colleagues,store,Yes,,Yes
14,2025-09-02T12:00:00,5,1,7,7,5,3,1,3,4,4,4,2,2,5,3,bread,swim,relatives,office,,,
