,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,1,2,4,3,3,3,6,6,2,3,3,3,3,3,7,γιαούρτι,περπάτημα,σύντροφος,πάρκο,Yes,,Yes,
1,1,2025-09-01T10:00:00,5,1,7,1,5,3,1,3,3,3,4,3,2,5,2,κράκερ,κολύμπι,συνάδελφοι,καφετέρια,,,,
2,2,2025-09-01T12:00:00,4,4,6,2,3,7,5,2,5,3,2,3,2,2,6,κράκερ,τέννις,γείτονες,σπίτι,,,,
3,3,2025-09-01T14:00:00,4,6,1,7,1,5,2,5,3,6,2,3,4,7,2,φρούτο,τέννις,σύντροφος,πάρκο,,,,
4,4,2025-09-01T16:00:00,3,2,4,6,2,6,5,2,3,6,4,6,6,7,1,ψωμί,ποδήλατο,συνάδελφοι,πάρκο,,Yes,,Yes
5,5,2025-09-01T18:00:00,5,2,7,3,2,5,5,6,3,5,6,5,5,3,5,γιαούρτι,κολύμπι,γείτονες,δρόμος,,,,
6,6,2025-09-01T20:00:00,1,1,2,7,6,1,1,5,2,3,3,1,5,1,3,γάλα,ποδήλατο,ξένοι,πάρκο,,Yes,,Yes
7,7,2025-09-01T22:00:00,1,4,4,3,6,4,4,1,3,2,1,4,1,5,5,γάλα,ποδήλατο,ξένοι,πάρκο,,Yes,,Yes
8,8,2025-09-02T00:00:00,6,5,1,5,2,5,4,7,5,5,5,5,1,5,6,κράκερ,γιόγκα,γείτονες,μαγαζί,,,,
9,9,2025-09-02T02:00:00,3,6,5,3,1,6,4,5,4,5,6,3,2,7,6,κράκερ,τέννις,γείτονες,καφετέρια,,,,
10,10,2025-09-02T04:00:00,2,1,4,3,4,1,4,2,4,6,5,5,3,6,4,βρώμη,τέννις,συγγενείς,καφετέρια,,,,
11,11,2025-09-02T06:00:00,4,3,2,5,5,2,5,3,1,3,5,6,3,3,6,βρώμη,ποδήλατο,φίλοι,πάρκο,,Yes,,Yes
12,12,2025-09-02T08:00:00,5,6,7,6,2,5,4,3,2,3,6,2,6,3,2,γάλα,ποδήλατο,σύντροφος,πάρκο,,Yes,,Yes
13,13,2025-09-02T10:00:00,2,3,6,5,4,3,3,5,4,1,2,4,3,5,6,ψωμί,τέννις,συνάδελφοι,σπίτι,,,,
14,14,2025-09-02T12:00:00,3,5,6,7,4,4,7,6,2,3,3,4,2,6,3,γάλα,γκολφ,φίλοι,γραφείο,,,,
