,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,111,1244,68,63,3,5,4,2,3,6,γάλα,τέννις,συγγενείς,γραφείο,,,,
1,1,2025-09-01T10:00:00,99,934,42,56,2,3,4,3,6,6,φρούτο,τέννις,σύντροφος,πάρκο,,Yes,,Yes
2,2,2025-09-01T12:00:00,112,797,45,51,3,3,3,5,4,7,βρώμη,ποδήλατο,συγγενείς,μαγαζί,,,,
3,3,2025-09-01T14:00:00,79,1345,66,64,5,1,4,6,1,7,φρούτο,περπάτημα,σύντροφος,μαγαζί,,,,
4,4,2025-09-01T16:00:00,133,1040,43,36,2,4,5,4,2,3,φρούτο,τέννις,σύντροφος,σπίτι,,,,
5,5,2025-09-01T18:00:00,134,1360,52,53,2,4,4,7,5,5,βρώμη,περπάτημα,συγγενείς,σπίτι,,,,
6,6,2025-09-01T20:00:00,119,1327,47,45,4,3,4,7,7,2,γιαούρτι,περπάτημα,συγγενείς,καφετέρια,Yes,,Yes,
7,7,2025-09-01T22:00:00,74,586,33,54,2,6,2,3,4,5,γάλα,κολύμπι,συγγενείς,σπίτι,,,,
8,8,2025-09-02T00:00:00,107,1475,53,35,5,5,4,7,4,7,βρώμη,κολύμπι,σύντροφος,δρόμος,,,,
9,9,2025-09-02T02:00:00,89,1775,64,61,6,2,7,3,2,2,γάλα,κολύμπι,σύντροφος,δρόμος,,,,
10,10,2025-09-02T04:00:00,82,1757,36,34,6,4,3,3,1,3,κράκερ,τέννις,σύντροφος,σπίτι,,,,
11,11,2025-09-02T06:00:00,146,1259,39,37,4,6,1,4,1,1,κράκερ,τέννις,σύντροφος,γραφείο,,,,
12,12,2025-09-02T08:00:00,150,462,47,62,3,4,1,2,7,2,γιαούρτι,ποδήλατο,φίλοι,γραφείο,,,,
13,13,2025-09-02T10:00:00,64,406,31,68,4,5,4,4,3,2,φρούτο,κολύμπι,συγγενείς,γραφείο,,,,
14,14,2025-09-02T12:00:00,137,588,50,47,1,1,1,7,6,2,βρώμη,τέννις,σύντροφος,σπίτι,,,,
