,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,0,2025-09-01T08:00:00,7,2,5,5,6,6,2,5,1,6,4,6,5,7,6,βρώμη,κολύμπι,σύντροφος,δρόμος,,,,
1,1,2025-09-01T10:00:00,1,6,3,1,3,7,1,3,2,3,2,1,1,2,7,φρούτο,γκολφ,γείτονες,δρόμος,Yes,,Yes,
2,2,2025-09-01T12:00:00,5,6,6,2,4,2,3,3,5,5,4,6,3,7,2,ψωμί,γκολφ,φίλοι,δρόμος,,Yes,,Yes
3,3,2025-09-01T14:00:00,2,6,7,3,1,4,5,4,5,1,3,4,3,1,4,κράκερ,ποδήλατο,ξένοι,πάρκο,,,,
4,4,2025-09-01T16:00:00,7,2,4,4,6,4,3,2,2,5,2,5,5,3,5,ψωμί,κολύμπι,συνάδελφοι,δρόμος,,,,
5,5,2025-09-01T18:00:00,1,7,7,7,6,7,3,2,5,2,5,1,3,6,3,φρούτο,ποδήλατο,συνάδελφοι,πάρκο,,,,
6,6,2025-09-01T20:00:00,6,4,1,6,4,1,5,7,4,4,5,4,4,2,5,ψωμί,γιόγκα,σύντροφος,γραφείο,,,,
7,7,2025-09-01T22:00:00,5,2,2,4,2,1,5,3,3,5,3,2,4,5,7,γάλα,κολύμπι,σύντροφος,καφετέρια,,,,
8,8,2025-09-02T00:00:00,6,4,2,7,4,6,5,6,5,4,5,4,3,7,4,γάλα,κολύμπι,συνάδελφοι,πάρκο,,,,
9,9,2025-09-02T02:00:00,7,4,7,6,3,4,3,5,2,4,6,5,3,5,7,φρούτο,ποδήλατο,γείτονες,καφετέρια,,,,
10,10,2025-09-02T04:00:00,2,1,5,6,6,4,6,3,1,4,4,5,3,4,6,γάλα,τέννις,συγγενείς,καφετέρια,,,,
11,11,2025-09-02T06:00:00,3,4,5,4,7,6,6,3,3,5,3,4,4,1,3,γιαούρτι,γκολφ,σύντροφος,πάρκο,,,,
12,12,2025-09-02T08:00:00,5,3,4,7,5,5,6,5,5,3,2,5,3,4,7,γάλα,γιόγκα,ξένοι,καφετέρια,,,,
13,13,2025-09-02T10:00:00,3,4,4,5,3,5,6,5,4,2,2,2,3,4,5,φρούτο,ποδήλατο,ξένοι,δρόμος,,,,
14,14,2025-09-02T12:00:00,3,7,7,6,1,3,1,3,3,4,2,2,6,6,2,κράκερ,ποδήλατο,σύντροφος,καφετέρια,,,,
