,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,4,6,2,1,1,5,1,5,5,6,3,3,3,5,7,yoghurt,tennis,relatives,home,Yes,,
1,2025-09-01T10:00:00,5,1,4,5,6,1,3,2,2,5,4,1,2,2,4,fruit,tennis,friends,store,Yes,,Yes
2,2025-09-01T12:00:00,5,6,2,7,4,4,6,4,2,3,1,2,4,4,5,bread,tennis,relatives,cafe,,,
3,2025-09-01T14:00:00,2,1,3,7,4,2,3,4,2,4,5,6,3,5,3,oatmeal,yoga,neighbours,home,Yes,,
4,2025-09-01T16:00:00,1,5,5,5,2,3,2,5,4,6,6,5,2,6,5,milk,golf,friends,home,,,
5,2025-09-01T18:00:00,3,3,2,3,4,4,1,3,4,5,1,4,3,2,3,fruit,swim,strangers,office,,,
6,2025-09-01T20:00:00,3,3,5,3,3,7,1,7,2,4,6,6,6,4,4,oatmeal,swim,strangers,office,,,
7,2025-09-01T22:00:00,6,6,1,5,6,4,5,6,5,3,2,1,1,6,3,milk,tennis,strangers,office,Yes,Yes,
8,2025-09-02T00:00:00,5,1,2,5,2,7,7,2,3,3,6,1,3,6,3,yoghurt,tennis,relatives,office,,,
9,2025-09-02T02:00:00,5,1,6,2,4,2,7,3,2,5,5,4,2,2,2,yoghurt,tennis,strangers,street,Yes,,
10,2025-09-02T04:00:00,4,6,3,2,2,7,4,6,3,4,6,3,2,4,2,milk,tennis,relatives,cafe,,,
11,2025-09-02T06:00:00,5,4,4,3,5,3,1,3,6,1,6,2,3,6,4,bread,tennis,colleagues,office,,,
12,2025-09-02T08:00:00,2,2,5,4,1,2,3,7,4,5,4,2,2,3,3,cracker,bike,relatives,office,Yes,,
13,2025-09-02T10:00:00,4,7,4,6,3,5,6,4,4,6,1,6,6,5,1,bread,bike,colleagues,cafe,,,
14,2025-09-02T12:00:00,2,7,3,4,3,6,6,5,6,5,4,6,4,5,6,oatmeal,bike,strangers,store,Yes,,
