,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,0,2025-09-01T08:00:00,4,3,6,2,6,1,4,5,3,3,6,2,1,6,4,κράκερ,τέννις,ξένοι,καφετέρια,,,
1,1,2025-09-01T10:00:00,5,3,3,3,1,5,5,1,5,3,1,4,5,4,2,ψωμί,ποδήλατο,γείτονες,καφετέρια,,,
2,2,2025-09-01T12:00:00,4,6,3,2,1,1,1,6,2,2,5,6,2,3,1,ψωμί,τέννις,συγγενείς,γραφείο,Yes,,
3,3,2025-09-01T14:00:00,4,4,3,5,6,5,3,2,5,4,3,3,5,1,2,βρώμη,τέννις,φίλοι,καφετέρια,Yes,,
4,4,2025-09-01T16:00:00,3,6,1,6,6,6,4,5,2,3,2,5,5,2,2,γάλα,περπάτημα,συνάδελφοι,μαγαζί,Yes,Yes,
5,5,2025-09-01T18:00:00,6,6,1,7,5,1,2,4,3,4,3,2,5,2,3,γιαούρτι,ποδήλατο,γείτονες,δρόμος,Yes,,
6,6,2025-09-01T20:00:00,3,2,2,7,6,1,5,4,4,3,6,5,3,6,1,φρούτο,ποδήλατο,φίλοι,καφετέρια,,,
7,7,2025-09-01T22:00:00,2,2,2,2,6,4,7,3,2,6,1,3,3,4,4,βρώμη,γκολφ,γείτονες,σπίτι,,,
8,8,2025-09-02T00:00:00,2,7,5,5,5,7,3,2,6,6,2,3,3,6,5,κράκερ,τέννις,ξένοι,μαγαζί,Yes,,
9,9,2025-09-02T02:00:00,4,1,3,3,7,7,3,6,6,4,4,2,4,2,2,ψωμί,κολύμπι,φίλοι,μαγαζί,Yes,,
10,10,2025-09-02T04:00:00,6,4,1,2,6,6,5,1,4,1,2,4,5,6,2,φρούτο,γκολφ,σύντροφος,δρόμος,Yes,,Yes
11,11,2025-09-02T06:00:00,4,6,3,4,7,6,5,7,6,3,1,2,5,3,4,κράκερ,ποδήλατο,φίλοι,δρόμος,,,
12,12,2025-09-02T08:00:00,1,2,2,7,6,3,3,3,2,4,1,5,5,2,5,βρώμη,γιόγκα,γείτονες,πάρκο,,,
13,13,2025-09-02T10:00:00,2,6,1,3,1,6,4,3,1,2,1,6,4,1,4,βρώμη,γκολφ,συνάδελφοι,σπίτι,,,
14,14,2025-09-02T12:00:00,2,6,5,4,4,4,3,4,5,3,6,6,3,3,4,γιαούρτι,ποδήλατο,συγγενείς,καφετέρια,,,
