,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B,Filter B2
0,2025-09-01T08:00:00,3,3,2,6,6,3,4,5,3,5,5,5,1,6,3,oatmeal,swim,strangers,office,,,
1,2025-09-01T10:00:00,2,4,1,1,3,3,6,2,3,4,2,4,2,3,7,oatmeal,bike,neighbours,office,,,
2,2025-09-01T12:00:00,5,1,5,7,5,5,6,3,2,2,1,5,2,5,5,yoghurt,swim,neighbours,office,,,
3,2025-09-01T14:00:00,1,4,6,3,5,1,6,7,4,2,6,3,4,2,6,cracker,yoga,partner,park,,,
4,2025-09-01T16:00:00,4,7,4,5,4,4,3,6,1,3,4,2,6,4,2,cracker,bike,neighbours,store,Yes,,
5,2025-09-01T18:00:00,3,4,3,4,4,2,3,1,1,3,2,5,3,5,4,bread,yoga,colleagues,street,,,
6,2025-09-01T20:00:00,1,2,3,2,6,2,3,7,2,2,4,6,6,4,4,bread,swim,neighbours,home,,,
7,2025-09-01T22:00:00,4,7,3,1,7,1,6,6,2,5,1,5,6,3,4,cracker,swim,colleagues,store,Yes,,
8,2025-09-02T00:00:00,1,3,4,7,4,6,7,3,3,6,4,5,6,3,5,oatmeal,yoga,neighbours,home,,,
9,2025-09-02T02:00:00,4,1,4,2,5,2,2,1,1,3,6,5,3,2,2,bread,tennis,neighbours,cafe,,,
10,2025-09-02T04:00:00,1,4,5,7,1,2,2,2,1,3,5,5,2,4,3,yoghurt,bike,friends,street,,,
11,2025-09-02T06:00:00,2,4,3,6,5,3,2,3,2,1,4,2,2,5,3,fruit,walk,partner,store,,,
12,2025-09-02T08:00:00,4,5,4,2,5,6,2,4,2,2,2,4,2,2,5,yoghurt,golf,colleagues,store,Yes,,Yes
13,2025-09-02T10:00:00,6,7,1,2,7,1,4,1,3,3,3,3,2,3,3,yoghurt,swim,neighbours,store,Yes,Yes,
14,2025-09-02T12:00:00,2,7,6,3,6,4,5,6,1,2,2,1,4,2,4,cracker,tennis,friends,park,Yes,,
