,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,5,6,7,4,5,3,4,7,2,6,3,5,2,2,2,cracker,yoga,relatives,park,,,,
1,2025-09-01T10:00:00,5,5,6,3,6,4,3,1,5,6,5,4,5,1,1,oatmeal,golf,strangers,office,,Yes,,Yes
2,2025-09-01T12:00:00,6,3,3,7,1,6,3,2,2,4,2,5,6,3,4,oatmeal,yoga,friends,park,,,,
3,2025-09-01T14:00:00,7,4,7,1,6,2,2,6,3,3,3,3,3,5,3,milk,swim,partner,cafe,Yes,,Yes,
4,2025-09-01T16:00:00,5,1,4,2,3,5,1,4,6,3,5,4,4,4,5,cracker,tennis,friends,park,,,,
5,2025-09-01T18:00:00,7,2,5,5,4,6,2,3,5,1,4,5,5,5,5,milk,bike,relatives,street,,,,
6,2025-09-01T20:00:00,1,1,2,6,1,6,5,5,6,2,2,5,5,5,2,oatmeal,bike,neighbours,park,,,,
7,2025-09-01T22:00:00,4,3,7,2,1,1,7,4,3,5,6,3,2,2,6,oatmeal,yoga,neighbours,park,,,,
8,2025-09-02T00:00:00,7,6,5,5,2,7,2,2,3,5,4,5,5,1,1,milk,tennis,neighbours,office,,,,
9,2025-09-02T02:00:00,5,2,7,7,7,2,1,1,5,3,4,5,4,5,3,oatmeal,yoga,colleagues,store,,,,
10,2025-09-02T04:00:00,6,6,6,7,2,3,7,6,3,5,1,4,4,1,3,milk,tennis,relatives,store,,,,
11,2025-09-02T06:00:00,2,2,3,3,6,5,4,5,2,5,4,6,3,1,3,milk,bike,strangers,cafe,,,,
12,2025-09-02T08:00:00,4,3,3,5,7,7,3,5,3,4,2,6,4,2,2,yoghurt,bike,neighbours,street,,,,
13,2025-09-02T10:00:00,2,6,2,3,7,3,2,3,2,4,4,4,5,4,6,fruit,yoga,partner,cafe,,,,
14,2025-09-02T12:00:00,4,1,2,7,3,7,5,6,3,5,3,4,4,2,3,fruit,walk,partner,park,,,,
