,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,2,7,4,3,3,5,4,1,2,1,3,1,5,1,6,yoghurt,swim,partner,cafe,,
1,2025-09-01T10:00:00,2,6,2,6,5,6,2,1,3,6,4,5,2,5,3,bread,swim,neighbours,store,,
2,2025-09-01T12:00:00,3,6,7,1,3,7,3,2,1,4,5,2,5,4,2,milk,yoga,friends,park,,
3,2025-09-01T14:00:00,2,6,6,1,4,5,7,5,3,6,4,3,5,6,4,fruit,walk,neighbours,store,Yes,
4,2025-09-01T16:00:00,1,2,4,5,6,7,3,2,2,3,5,4,5,5,7,fruit,golf,colleagues,cafe,Yes,
5,2025-09-01T18:00:00,3,3,3,3,2,1,1,1,5,6,4,4,4,2,2,cracker,bike,partner,store,Yes,Yes
6,2025-09-01T20:00:00,7,5,6,4,1,3,1,4,5,4,4,2,5,3,2,oatmeal,walk,relatives,park,,
7,2025-09-01T22:00:00,6,5,4,4,2,7,2,2,3,5,4,4,2,6,5,yoghurt,golf,relatives,store,Yes,
8,2025-09-02T00:00:00,6,6,6,3,6,6,6,7,1,5,2,4,4,4,6,milk,swim,colleagues,store,Yes,
9,2025-09-02T02:00:00,2,6,6,7,5,3,3,2,2,3,6,5,3,1,4,yoghurt,walk,colleagues,park,,
10,2025-09-02T04:00:00,4,2,4,2,2,7,3,4,2,1,6,6,5,6,4,yoghurt,yoga,strangers,park,,
11,2025-09-02T06:00:00,3,5,3,3,3,5,2,6,2,2,1,2,5,6,6,bread,walk,friends,office,,
12,2025-09-02T08:00:00,2,5,5,2,2,6,7,3,2,5,6,1,3,2,6,yoghurt,tennis,strangers,cafe,,
13,2025-09-02T10:00:00,2,4,4,5,4,3,4,7,5,5,6,6,4,4,1,milk,golf,friends,store,,
14,2025-09-02T12:00:00,2,2,2,3,1,2,2,4,2,6,4,1,1,3,6,fruit,yoga,neighbours,cafe,,
