,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,3,6,2,7,7,6,4,5,3,4,1,3,4,4,2,cracker,tennis,strangers,home,,
1,2025-09-01T10:00:00,6,1,4,6,5,7,4,4,1,6,3,2,5,7,3,cracker,bike,partner,cafe,,
2,2025-09-01T12:00:00,3,3,5,5,6,6,5,7,4,3,6,2,1,4,3,yoghurt,golf,relatives,office,,
3,2025-09-01T14:00:00,1,3,3,4,3,5,6,4,6,4,2,2,5,2,2,yoghurt,yoga,partner,home,,
4,2025-09-01T16:00:00,4,1,2,3,1,2,4,6,5,5,2,3,6,7,4,bread,golf,neighbours,home,,
5,2025-09-01T18:00:00,5,5,6,5,5,2,1,4,2,4,6,2,1,4,3,oatmeal,yoga,strangers,office,,
6,2025-09-01T20:00:00,5,6,6,1,5,6,7,3,4,6,3,3,2,2,6,fruit,tennis,neighbours,park,,
7,2025-09-01T22:00:00,1,4,6,1,3,2,5,6,3,1,4,3,6,1,4,bread,tennis,neighbours,store,,
8,2025-09-02T00:00:00,4,6,2,4,2,6,2,2,5,3,4,5,2,1,2,cracker,bike,relatives,office,,
9,2025-09-02T02:00:00,2,4,7,3,6,2,5,2,4,2,5,5,4,4,6,bread,yoga,colleagues,store,,
10,2025-09-02T04:00:00,1,3,4,7,3,4,1,3,3,5,5,2,1,2,6,yoghurt,bike,neighbours,store,,
11,2025-09-02T06:00:00,7,4,2,5,5,2,7,4,2,5,5,1,2,4,4,fruit,golf,partner,office,,
12,2025-09-02T08:00:00,5,6,3,1,6,5,3,4,2,5,3,4,3,4,7,bread,walk,friends,street,,
13,2025-09-02T10:00:00,3,3,1,5,5,5,5,2,4,4,6,4,5,5,6,milk,yoga,neighbours,street,,
14,2025-09-02T12:00:00,6,4,6,1,2,3,3,1,2,1,5,5,2,6,3,fruit,swim,colleagues,store,Yes,Yes
