,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,3,6,2,7,7,6,4,5,3,4,1,3,4,4,2,κράκερ,τέννις,ξένοι,σπίτι,,
1,1,2025-09-01T10:00:00,6,1,4,6,5,7,4,4,1,6,3,2,5,7,3,κράκερ,ποδήλατο,σύντροφος,καφετέρια,,
2,2,2025-09-01T12:00:00,3,3,5,5,6,6,5,7,4,3,6,2,1,4,3,γιαούρτι,γκολφ,συγγενείς,γραφείο,,
3,3,2025-09-01T14:00:00,1,3,3,4,3,5,6,4,6,4,2,2,5,2,2,γιαούρτι,γιόγκα,σύντροφος,σπίτι,,
4,4,2025-09-01T16:00:00,4,1,2,3,1,2,4,6,5,5,2,3,6,7,4,ψωμί,γκολφ,γείτονες,σπίτι,,
5,5,2025-09-01T18:00:00,5,5,6,5,5,2,1,4,2,4,6,2,1,4,3,βρώμη,γιόγκα,ξένοι,γραφείο,,
6,6,2025-09-01T20:00:00,5,6,6,1,5,6,7,3,4,6,3,3,2,2,6,φρούτο,τέννις,γείτονες,πάρκο,,
7,7,2025-09-01T22:00:00,1,4,6,1,3,2,5,6,3,1,4,3,6,1,4,ψωμί,τέννις,γείτονες,μαγαζί,,
8,8,2025-09-02T00:00:00,4,6,2,4,2,6,2,2,5,3,4,5,2,1,2,κράκερ,ποδήλατο,συγγενείς,γραφείο,,
9,9,2025-09-02T02:00:00,2,4,7,3,6,2,5,2,4,2,5,5,4,4,6,ψωμί,γιόγκα,συνάδελφοι,μαγαζί,,
10,10,2025-09-02T04:00:00,1,3,4,7,3,4,1,3,3,5,5,2,1,2,6,γιαούρτι,ποδήλατο,γείτονες,μαγαζί,,
11,11,2025-09-02T06:00:00,7,4,2,5,5,2,7,4,2,5,5,1,2,4,4,φρούτο,γκολφ,σύντροφος,γραφείο,,
12,12,2025-09-02T08:00:00,5,6,3,1,6,5,3,4,2,5,3,4,3,4,7,ψωμί,περπάτημα,φίλοι,δρόμος,,
13,13,2025-09-02T10:00:00,3,3,1,5,5,5,5,2,4,4,6,4,5,5,6,γάλα,γιόγκα,γείτονες,δρόμος,,
14,14,2025-09-02T12:00:00,6,4,6,1,2,3,3,1,2,1,5,5,2,6,3,φρούτο,κολύμπι,συνάδελφοι,μαγαζί,Yes,Yes
