,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,130,1383,52,50,6,7,1,3,3,4,6,milk,bike,friends,cafe,,
1,2025-09-01T10:00:00,67,755,67,32,6,1,7,4,5,3,2,fruit,golf,strangers,park,Yes,Yes
2,2025-09-01T12:00:00,139,1633,49,61,7,4,5,3,3,4,6,oatmeal,walk,friends,store,,
3,2025-09-01T14:00:00,112,1780,58,48,1,6,2,5,1,7,4,cracker,golf,friends,cafe,,
4,2025-09-01T16:00:00,104,717,60,34,4,7,3,3,3,5,6,cracker,golf,strangers,street,,
5,2025-09-01T18:00:00,72,1284,35,67,6,5,4,6,2,2,2,bread,walk,neighbours,park,,
6,2025-09-01T20:00:00,132,505,56,52,4,3,7,4,5,5,6,yoghurt,swim,partner,park,,
7,2025-09-01T22:00:00,89,433,49,37,6,1,6,3,3,7,3,bread,tennis,relatives,office,,
8,2025-09-02T00:00:00,132,680,60,39,7,6,4,1,5,6,2,oatmeal,bike,neighbours,street,,
9,2025-09-02T02:00:00,136,1758,40,62,1,2,7,5,4,6,6,bread,tennis,relatives,park,,
10,2025-09-02T04:00:00,69,1100,34,38,3,4,5,7,4,2,4,cracker,bike,partner,office,,
11,2025-09-02T06:00:00,149,661,64,51,3,2,2,6,1,3,6,oatmeal,walk,partner,home,,
12,2025-09-02T08:00:00,77,1345,39,41,6,6,1,4,5,3,2,oatmeal,bike,friends,home,,
13,2025-09-02T10:00:00,84,631,62,40,1,3,4,5,5,3,6,milk,bike,colleagues,cafe,,
14,2025-09-02T12:00:00,111,1639,41,54,5,4,6,3,4,5,3,cracker,yoga,colleagues,park,,
