,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,2,2,4,1,4,7,2,2,4,2,2,6,5,4,6,cracker,walk,friends,home,,
1,2025-09-01T10:00:00,7,1,5,5,5,2,2,7,3,3,4,5,4,2,5,cracker,bike,neighbours,store,Yes,Yes
2,2025-09-01T12:00:00,2,3,6,3,2,6,2,5,3,2,5,4,6,6,6,fruit,golf,friends,office,,
3,2025-09-01T14:00:00,5,3,4,7,2,3,4,3,2,5,4,4,5,3,3,fruit,swim,strangers,home,,
4,2025-09-01T16:00:00,2,6,2,4,1,1,3,4,2,5,1,6,5,3,6,bread,walk,neighbours,cafe,Yes,
5,2025-09-01T18:00:00,2,3,1,5,3,6,6,1,4,4,4,5,4,6,6,milk,bike,relatives,office,Yes,
6,2025-09-01T20:00:00,7,2,7,4,3,3,4,6,3,1,6,2,3,4,3,oatmeal,golf,partner,cafe,Yes,
7,2025-09-01T22:00:00,2,3,4,4,4,2,5,3,2,3,5,5,3,3,5,yoghurt,walk,colleagues,street,Yes,
8,2025-09-02T00:00:00,5,7,2,2,3,4,7,1,3,3,6,2,3,6,6,yoghurt,yoga,colleagues,office,,
9,2025-09-02T02:00:00,4,1,7,1,6,2,1,6,5,1,6,3,4,3,7,oatmeal,swim,relatives,home,,
10,2025-09-02T04:00:00,4,5,4,7,6,3,1,1,5,6,2,6,5,3,7,milk,bike,partner,home,,
11,2025-09-02T06:00:00,4,3,5,3,2,4,2,4,3,5,2,5,2,7,6,bread,swim,colleagues,home,,
12,2025-09-02T08:00:00,2,5,6,2,3,4,3,3,3,4,4,3,1,6,2,cracker,golf,partner,store,,
13,2025-09-02T10:00:00,6,3,3,7,2,5,4,6,3,5,6,2,5,5,5,milk,swim,strangers,street,,
14,2025-09-02T12:00:00,2,5,3,7,5,3,5,4,2,2,3,4,2,2,5,cracker,swim,friends,office,,
