,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,5,3,1,3,3,5,6,2,4,4,3,4,1,6,3,bread,swim,relatives,park,,
1,2025-09-01T10:00:00,5,7,3,6,5,6,5,6,2,3,3,2,4,4,3,bread,golf,friends,park,,
2,2025-09-01T12:00:00,6,6,2,1,4,4,5,1,2,3,5,4,4,4,2,fruit,bike,strangers,office,,
3,2025-09-01T14:00:00,7,6,2,7,3,5,5,4,5,4,3,2,6,7,4,cracker,bike,colleagues,home,,
4,2025-09-01T16:00:00,7,3,4,5,5,3,2,5,4,6,2,5,3,3,6,fruit,walk,colleagues,park,Yes,
5,2025-09-01T18:00:00,1,3,1,4,5,6,3,3,5,5,3,3,4,5,4,cracker,golf,friends,cafe,Yes,Yes
6,2025-09-01T20:00:00,4,6,3,4,5,2,2,7,1,4,6,5,6,3,4,bread,golf,neighbours,office,Yes,
7,2025-09-01T22:00:00,5,6,5,4,3,3,2,6,1,2,4,5,3,6,4,milk,swim,friends,street,Yes,
8,2025-09-02T00:00:00,4,4,5,4,4,3,3,4,3,5,4,3,1,1,5,oatmeal,swim,neighbours,home,Yes,
9,2025-09-02T02:00:00,5,6,6,6,2,5,3,7,5,5,6,6,1,4,2,yoghurt,swim,colleagues,store,,
10,2025-09-02T04:00:00,4,4,3,1,6,6,4,7,5,3,2,5,5,3,7,yoghurt,golf,partner,home,,
11,2025-09-02T06:00:00,4,6,7,3,2,6,4,1,4,2,3,4,2,3,4,cracker,bike,colleagues,store,,
12,2025-09-02T08:00:00,3,3,3,1,5,1,4,6,2,1,6,4,3,5,3,oatmeal,tennis,strangers,home,,
13,2025-09-02T10:00:00,6,3,5,7,4,4,1,6,1,2,3,6,6,5,1,milk,yoga,neighbours,office,,
14,2025-09-02T12:00:00,5,4,6,6,5,1,6,3,3,5,4,4,1,7,5,milk,walk,colleagues,home,,
