,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,5,3,1,3,3,5,6,2,4,4,3,4,1,6,3,ψωμί,κολύμπι,συγγενείς,πάρκο,,
1,1,2025-09-01T10:00:00,5,7,3,6,5,6,5,6,2,3,3,2,4,4,3,ψωμί,γκολφ,φίλοι,πάρκο,,
2,2,2025-09-01T12:00:00,6,6,2,1,4,4,5,1,2,3,5,4,4,4,2,φρούτο,ποδήλατο,ξένοι,γραφείο,,
3,3,2025-09-01T14:00:00,7,6,2,7,3,5,5,4,5,4,3,2,6,7,4,κράκερ,ποδήλατο,συνάδελφοι,σπίτι,,
4,4,2025-09-01T16:00:00,7,3,4,5,5,3,2,5,4,6,2,5,3,3,6,φρούτο,περπάτημα,συνάδελφοι,πάρκο,Yes,
5,5,2025-09-01T18:00:00,1,3,1,4,5,6,3,3,5,5,3,3,4,5,4,κράκερ,γκολφ,φίλοι,καφετέρια,Yes,Yes
6,6,2025-09-01T20:00:00,4,6,3,4,5,2,2,7,1,4,6,5,6,3,4,ψωμί,γκολφ,γείτονες,γραφείο,Yes,
7,7,2025-09-01T22:00:00,5,6,5,4,3,3,2,6,1,2,4,5,3,6,4,γάλα,κολύμπι,φίλοι,δρόμος,Yes,
8,8,2025-09-02T00:00:00,4,4,5,4,4,3,3,4,3,5,4,3,1,1,5,βρώμη,κολύμπι,γείτονες,σπίτι,Yes,
9,9,2025-09-02T02:00:00,5,6,6,6,2,5,3,7,5,5,6,6,1,4,2,γιαούρτι,κολύμπι,συνάδελφοι,μαγαζί,,
10,10,2025-09-02T04:00:00,4,4,3,1,6,6,4,7,5,3,2,5,5,3,7,γιαούρτι,γκολφ,σύντροφος,σπίτι,,
11,11,2025-09-02T06:00:00,4,6,7,3,2,6,4,1,4,2,3,4,2,3,4,κράκερ,ποδήλατο,συνάδελφοι,μαγαζί,,
12,12,2025-09-02T08:00:00,3,3,3,1,5,1,4,6,2,1,6,4,3,5,3,βρώμη,τέννις,ξένοι,σπίτι,,
13,13,2025-09-02T10:00:00,6,3,5,7,4,4,1,6,1,2,3,6,6,5,1,γάλα,γιόγκα,γείτονες,γραφείο,,
14,14,2025-09-02T12:00:00,5,4,6,6,5,1,6,3,3,5,4,4,1,7,5,γάλα,περπάτημα,συνάδελφοι,σπίτι,,
