,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,146,1793,43,36,5,5,5,3,5,3,yoghurt,bike,partner,home,,
1,2025-09-01T10:00:00,145,1729,35,60,4,3,2,7,5,2,bread,bike,relatives,home,,
2,2025-09-01T12:00:00,65,1162,50,59,2,2,5,4,2,4,cracker,golf,acquaintances,office,,
3,2025-09-01T14:00:00,68,1023,70,48,3,4,1,6,3,6,milk,tennis,friends,office,,
4,2025-09-01T16:00:00,135,776,57,51,5,7,6,2,1,2,cracker,walk,colleagues,home,,
5,2025-09-01T18:00:00,126,450,37,50,2,5,2,1,4,5,yoghurt,swim,friends,office,,
6,2025-09-01T20:00:00,120,438,66,67,6,1,2,5,6,3,yoghurt,walk,partner,home,,
7,2025-09-01T22:00:00,88,1051,62,50,3,6,2,2,5,4,yoghurt,yoga,partner,store,,
8,2025-09-02T00:00:00,115,846,59,63,6,5,1,1,6,2,cracker,bike,colleagues,street,,
9,2025-09-02T02:00:00,115,932,66,44,3,6,2,6,6,7,fruit,yoga,friends,park,,
10,2025-09-02T04:00:00,112,1649,61,65,7,2,6,1,6,3,bread,yoga,acquaintances,park,,
11,2025-09-02T06:00:00,74,1136,62,66,5,5,4,5,5,5,yoghurt,golf,strangers,cafe,Yes,Yes
12,2025-09-02T08:00:00,99,1185,44,48,4,1,5,6,4,4,oatmeal,swim,friends,store,,
13,2025-09-02T10:00:00,95,731,69,53,4,5,1,7,2,1,bread,swim,colleagues,street,,
14,2025-09-02T12:00:00,125,433,68,67,5,3,5,3,5,4,cracker,golf,friends,park,,
