,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,5,1,4,2,7,3,2,5,5,3,6,1,5,6,3,βρώμη,περπάτημα,συνάδελφοι,πάρκο,,
1,1,2025-09-01T10:00:00,1,6,4,2,5,6,5,2,4,1,4,2,4,4,6,φρούτο,γιόγκα,ξένοι,μαγαζί,,
2,2,2025-09-01T12:00:00,3,7,3,3,4,4,6,4,5,5,3,4,6,1,4,βρώμη,ποδήλατο,ξένοι,μαγαζί,,
3,3,2025-09-01T14:00:00,2,4,1,5,5,3,4,4,4,5,4,2,1,7,4,βρώμη,γιόγκα,συγγενείς,σπίτι,,
4,4,2025-09-01T16:00:00,5,3,7,3,6,2,1,7,1,2,2,2,3,6,7,γιαούρτι,γιόγκα,συνάδελφοι,σπίτι,,
5,5,2025-09-01T18:00:00,5,2,2,3,6,4,3,6,3,3,2,6,3,7,7,κράκερ,περπάτημα,συγγενείς,μαγαζί,,
6,6,2025-09-01T20:00:00,6,5,7,2,2,3,7,3,1,4,3,4,5,7,4,βρώμη,γιόγκα,σύντροφος,γραφείο,,
7,7,2025-09-01T22:00:00,2,4,6,3,1,5,4,4,6,2,4,3,2,6,5,κράκερ,περπάτημα,συνάδελφοι,μαγαζί,Yes,Yes
8,8,2025-09-02T00:00:00,4,1,7,7,3,6,7,2,5,5,2,5,2,2,2,γιαούρτι,τέννις,ξένοι,καφετέρια,,
9,9,2025-09-02T02:00:00,1,1,2,5,3,3,6,6,5,3,2,5,3,4,3,κράκερ,γκολφ,ξένοι,γραφείο,,
10,10,2025-09-02T04:00:00,2,4,2,5,2,2,1,6,3,2,1,2,3,2,7,βρώμη,γιόγκα,συγγενείς,καφετέρια,,
11,11,2025-09-02T06:00:00,4,5,4,2,7,7,5,3,1,4,4,1,2,3,4,κράκερ,γιόγκα,σύντροφος,σπίτι,,
12,12,2025-09-02T08:00:00,1,7,2,5,6,4,5,5,5,5,2,3,2,1,4,ψωμί,γιόγκα,συγγενείς,γραφείο,,
13,13,2025-09-02T10:00:00,2,2,7,2,3,2,4,5,6,2,6,3,6,3,5,γιαούρτι,κολύμπι,φίλοι,καφετέρια,,
14,14,2025-09-02T12:00:00,5,2,4,3,5,1,3,2,1,3,5,3,3,7,1,φρούτο,κολύμπι,φίλοι,καφετέρια,,
