,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,7,6,2,2,5,2,2,6,1,3,2,6,1,7,5,milk,golf,friends,office,,
1,2025-09-01T10:00:00,4,5,4,3,3,6,4,6,1,4,3,4,1,3,5,oatmeal,walk,friends,street,,
2,2025-09-01T12:00:00,4,4,1,5,1,7,2,1,5,4,2,2,4,6,4,milk,golf,colleagues,office,,
3,2025-09-01T14:00:00,5,3,5,1,3,5,5,3,5,3,5,5,4,2,2,cracker,walk,neighbours,cafe,Yes,
4,2025-09-01T16:00:00,6,3,6,2,6,6,1,7,4,4,1,5,5,2,3,fruit,golf,partner,office,Yes,
5,2025-09-01T18:00:00,1,7,3,5,5,7,3,1,6,3,3,5,3,3,3,cracker,yoga,neighbours,home,,
6,2025-09-01T20:00:00,6,4,6,4,5,3,5,5,2,5,5,4,2,1,5,cracker,walk,neighbours,home,,
7,2025-09-01T22:00:00,6,6,3,4,7,6,2,2,3,4,3,1,3,7,3,cracker,bike,friends,office,,
8,2025-09-02T00:00:00,5,3,4,7,5,4,6,6,3,5,5,4,3,2,2,oatmeal,swim,neighbours,home,Yes,Yes
9,2025-09-02T02:00:00,6,5,3,5,5,1,1,2,3,4,2,4,5,1,2,oatmeal,golf,friends,office,,
10,2025-09-02T04:00:00,6,1,5,6,3,6,7,4,5,6,1,2,2,3,5,fruit,yoga,colleagues,park,Yes,
11,2025-09-02T06:00:00,5,6,1,3,1,3,5,2,1,5,3,5,4,3,6,fruit,tennis,colleagues,park,,
12,2025-09-02T08:00:00,3,4,4,3,5,2,3,5,1,3,4,3,6,1,4,bread,walk,relatives,street,,
13,2025-09-02T10:00:00,2,7,4,3,7,5,7,3,1,5,3,3,1,7,2,bread,swim,relatives,home,,
14,2025-09-02T12:00:00,2,5,5,6,3,4,6,2,3,4,2,6,4,4,2,bread,tennis,strangers,store,,
