,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,2025-09-01T08:00:00,4,6,1,6,6,7,2,7,3,5,1,1,2,3,3,oatmeal,tennis,colleagues,cafe,,
1,2025-09-01T10:00:00,6,5,7,3,3,6,3,4,2,3,2,6,3,4,4,yoghurt,swim,colleagues,store,,
2,2025-09-01T12:00:00,7,4,4,7,3,1,4,2,3,3,6,5,4,2,4,yoghurt,yoga,friends,store,,
3,2025-09-01T14:00:00,3,1,7,3,6,4,1,5,1,4,5,1,5,4,3,bread,bike,relatives,street,,
4,2025-09-01T16:00:00,6,2,2,2,4,5,6,3,5,4,3,4,6,3,4,yoghurt,swim,friends,office,,
5,2025-09-01T18:00:00,5,7,6,5,3,3,5,6,4,4,5,5,3,2,6,yoghurt,walk,relatives,park,,
6,2025-09-01T20:00:00,5,3,6,4,1,5,7,7,3,2,2,2,1,2,2,fruit,golf,relatives,home,Yes,Yes
7,2025-09-01T22:00:00,2,6,7,7,6,7,2,3,5,4,2,4,5,5,4,oatmeal,walk,partner,street,,
8,2025-09-02T00:00:00,1,1,1,2,3,5,5,2,3,5,4,5,3,3,2,milk,swim,relatives,street,,
9,2025-09-02T02:00:00,3,6,3,3,4,3,6,7,4,5,4,5,5,2,4,oatmeal,tennis,colleagues,cafe,,
10,2025-09-02T04:00:00,5,3,1,5,3,2,7,6,6,3,1,3,5,3,3,fruit,walk,colleagues,office,,
11,2025-09-02T06:00:00,3,7,6,2,5,3,5,3,4,3,3,1,1,2,6,oatmeal,tennis,strangers,office,,
12,2025-09-02T08:00:00,4,4,3,2,5,2,1,2,4,4,6,4,5,7,6,yoghurt,walk,relatives,office,,
13,2025-09-02T10:00:00,3,7,7,3,3,2,1,6,3,4,4,2,2,6,7,milk,yoga,relatives,store,,
14,2025-09-02T12:00:00,6,6,3,2,1,2,6,4,6,3,6,4,3,2,3,yoghurt,tennis,partner,cafe,,
