,Unnamed: 0,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,focus,relaxation,fluidintake,caffeineintake,productivity,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter B
0,0,2025-09-01T08:00:00,4,6,1,6,6,7,2,7,3,5,1,1,2,3,3,βρώμη,τέννις,συνάδελφοι,καφετέρια,,
1,1,2025-09-01T10:00:00,6,5,7,3,3,6,3,4,2,3,2,6,3,4,4,γιαούρτι,κολύμπι,συνάδελφοι,μαγαζί,,
2,2,2025-09-01T12:00:00,7,4,4,7,3,1,4,2,3,3,6,5,4,2,4,γιαούρτι,γιόγκα,φίλοι,μαγαζί,,
3,3,2025-09-01T14:00:00,3,1,7,3,6,4,1,5,1,4,5,1,5,4,3,ψωμί,ποδήλατο,συγγενείς,δρόμος,,
4,4,2025-09-01T16:00:00,6,2,2,2,4,5,6,3,5,4,3,4,6,3,4,γιαούρτι,κολύμπι,φίλοι,γραφείο,,
5,5,2025-09-01T18:00:00,5,7,6,5,3,3,5,6,4,4,5,5,3,2,6,γιαούρτι,περπάτημα,συγγενείς,πάρκο,,
6,6,2025-09-01T20:00:00,5,3,6,4,1,5,7,7,3,2,2,2,1,2,2,φρούτο,γκολφ,συγγενείς,σπίτι,Yes,Yes
7,7,2025-09-01T22:00:00,2,6,7,7,6,7,2,3,5,4,2,4,5,5,4,βρώμη,περπάτημα,σύντροφος,δρόμος,,
8,8,2025-09-02T00:00:00,1,1,1,2,3,5,5,2,3,5,4,5,3,3,2,γάλα,κολύμπι,συγγενείς,δρόμος,,
9,9,2025-09-02T02:00:00,3,6,3,3,4,3,6,7,4,5,4,5,5,2,4,βρώμη,τέννις,συνάδελφοι,καφετέρια,,
10,10,2025-09-02T04:00:00,5,3,1,5,3,2,7,6,6,3,1,3,5,3,3,φρούτο,περπάτημα,συνάδελφοι,γραφείο,,
11,11,2025-09-02T06:00:00,3,7,6,2,5,3,5,3,4,3,3,1,1,2,6,βρώμη,τέννις,ξένοι,γραφείο,,
12,12,2025-09-02T08:00:00,4,4,3,2,5,2,1,2,4,4,6,4,5,7,6,γιαούρτι,περπάτημα,συγγενείς,γραφείο,,
13,13,2025-09-02T10:00:00,3,7,7,3,3,2,1,6,3,4,4,2,2,6,7,γάλα,γιόγκα,συγγενείς,μαγαζί,,
14,14,2025-09-02T12:00:00,6,6,3,2,1,2,6,4,6,3,6,4,3,2,3,γιαούρτι,τέννις,σύντροφος,καφετέρια,,
